comment_id,polarity_gold,text_gold,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,text_kaiaulu,polarity_kaiaulu,commit_id
6044242,0,"I had it implemented that way originally. The `rijndael` function uses substrings so I decided to make this the same. Being more strict is an option though.""",2013-08-28 07:51:55,markstory,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1568#discussion_r6044242,2013-08-28T19:51:55Z,2013-09-02T01:44:56Z,markstory,MEMBER,lib/Cake/Utility/Security.php,,,,,1,"@@ -289,4 +289,69 @@ protected static function _crypt($password, $salt = false) {
 		return crypt($password, $salt);
 	}
 
+/**
+ * Encrypt a value using AES-256.
+ *
+ * *Caveat* You cannot properly encrypt/decrypt data with trailing null bytes.
+ * Any trailing null bytes will be removed on decryption due to how PHP pads messages
+ * with nulls prior to encryption.
+ *
+ * @param string $plain The value to encrypt.
+ * @param string $key The 256 bit/32 byte key to use as a cipher key.
+ * @return string Encrypted data.
+ * @throws CakeException On invalid data or key.
+ */
+	public static function encrypt($plain, $key) {
+		self::_checkKey($key, 'encrypt()');
+		if (empty($plain)) {
+			throw new CakeException(__d('cake_dev', 'The data to encrypt cannot be empty.'));
+		}
+		$key = substr($key, 0, 32);","I had it implemented that way originally. The `rijndael` function uses substrings so I decided to make this the same. Being more strict is an option though.
",0,13b870d7e183375822eea4ffd66aaacaeec760ff
5949747,0,"This block of code is repeated 3 times in Hash now. Perhaps it would be best extracted into a helper method that does something like:  ```php list($token, $conditions) = self::_splitConditions($token); ```  That would address the duplication in the """,2013-08-23 01:02:48,markstory,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1549#discussion_r5949747,2013-08-23T13:02:48Z,2013-08-23T23:04:34Z,markstory,MEMBER,lib/Cake/Utility/Hash.php,,149.0,,,30,"@@ -222,16 +222,36 @@ protected static function _matches(array $data, $selector) {
  * @return array The data with $values inserted.
  */
 	public static function insert(array $data, $path, $values = null) {
-		$tokens = explode('.', $path);
-		if (strpos($path, '{') === false) {
+		if (strpos($path, '[') === false) {
+			$tokens = explode('.', $path);
+		} else {
+			$tokens = String::tokenize($path, '.', '[', ']');
+		}
+
+		if (strpos($path, '{') === false && strpos($path, '[') === false) {
 			return self::_simpleOp('insert', $data, $tokens, $values);
 		}
 
 		$token = array_shift($tokens);
 		$nextPath = implode('.', $tokens);
+
+		$conditions = false;
+		$position = strpos($token, '[');
+		if ($position !== false) {
+			$conditions = substr($token, $position);
+			$token = substr($token, 0, $position);
+		}","This block of code is repeated 3 times in Hash now. Perhaps it would be best extracted into a helper method that does something like:

``` php
list($token, $conditions) = self::_splitConditions($token);
```

That would address the duplication in the code.
",0,a0014e7a303067bb9c36d438de5a70fe819d22a7
4288367,0,"This looks good, but makes me think we should have originally added methods like `Security::blowfish($input)` and `Security::matchBlowfish($input, $hashedPassword)` or made a separate utility class for Bcrypt that didn't have as difficult to remember meth""",2013-05-18 04:31:19,markstory,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1275#discussion_r4288367,2013-05-18T16:31:19Z,2013-05-26T05:59:44Z,markstory,MEMBER,lib/Cake/Controller/Component/Auth/BlowfishPasswordHasher.php,,44.0,,,44,"@@ -0,0 +1,58 @@
+<?php
+/**
+ * PHP 5
+ *
+ * CakePHP(tm) : Rapid Development Framework (http://cakephp.org)
+ * Copyright (c) Cake Software Foundation, Inc. (http://cakefoundation.org)
+ *
+ * Licensed under The MIT License
+ * For full copyright and license information, please see the LICENSE.txt
+ * Redistributions of files must retain the above copyright notice.
+ *
+ * @copyright     Copyright (c) Cake Software Foundation, Inc. (http://cakefoundation.org)
+ * @link          http://cakephp.org CakePHP(tm) Project
+ * @license       MIT License (http://www.opensource.org/licenses/mit-license.php)
+ */
+App::uses('BasePasswordHasher', 'Controller/Component/Auth');
+App::uses('Security', 'Utility');
+App::uses('Hash', 'Utility');
+
+/**
+ * Blowfish password hashing class.
+ *
+ * @package       Cake.Controller.Component.Auth
+ */
+class BlowfishPasswordHasher extends BasePasswordHasher {
+
+/**
+ * Settings for this object. Settings for authenticator are passed to the constructor
+ * which are merged with this property.
+ *
+ * @var array
+ */
+	public $settings = array();
+
+/**
+ * Generates password hash.
+ *
+ * @param string|array $password Plain text password to hash or data array
+ *   required to generate hash.
+ * @return string Password hash
+ */
+	public function hash($password) {
+		return Security::hash($password, 'blowfish', false);
+	}
+
+/**
+ * Check hash. Generate hash for user provided password and check against existing hash.
+ *
+ * @param string|array $password Plain text password to hash or data array
+ *   required to generate hash.
+ * @param string Existing hashed password.
+ * @return boolean True if hashes match else false.
+ */
+	public function check($password, $hashedPassword) {
+		return $hashedPassword === Security::hash($password, 'blowfish', $hashedPassword);","This looks good, but makes me think we should have originally added methods like `Security::blowfish($input)` and `Security::matchBlowfish($input, $hashedPassword)` or made a separate utility class for Bcrypt that didn't have as difficult to remember method signatures.
",0,dd2892ad8d0e3a0b09990b0a9ef26c320f1901fa
4288664,0,"Hmm, my thinking was all password hasher classes would extend the base class if we are not going to have an interface.""",2013-05-18 07:00:03,ADmad,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1275#discussion_r4288664,2013-05-18T19:00:03Z,2013-05-26T05:59:44Z,ADmad,MEMBER,lib/Cake/Controller/Component/Auth/BlowfishPasswordHasher.php,,,,,1,"@@ -0,0 +1,58 @@
+<?php
+/**
+ * PHP 5
+ *
+ * CakePHP(tm) : Rapid Development Framework (http://cakephp.org)
+ * Copyright (c) Cake Software Foundation, Inc. (http://cakefoundation.org)
+ *
+ * Licensed under The MIT License
+ * For full copyright and license information, please see the LICENSE.txt
+ * Redistributions of files must retain the above copyright notice.
+ *
+ * @copyright     Copyright (c) Cake Software Foundation, Inc. (http://cakefoundation.org)
+ * @link          http://cakephp.org CakePHP(tm) Project
+ * @license       MIT License (http://www.opensource.org/licenses/mit-license.php)
+ */
+App::uses('BasePasswordHasher', 'Controller/Component/Auth');
+App::uses('Security', 'Utility');
+App::uses('Hash', 'Utility');
+
+/**
+ * Blowfish password hashing class.
+ *
+ * @package       Cake.Controller.Component.Auth
+ */
+class BlowfishPasswordHasher extends BasePasswordHasher {","Hmm, my thinking was all password hasher classes would extend the base class if we are not going to have an interface.
",0,dd2892ad8d0e3a0b09990b0a9ef26c320f1901fa
3122764,2,"I totally missed that, my bad. I'll get that fixed.""",2013-02-22 10:12:40,markstory,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1154#discussion_r3122764,2013-02-22T21:12:40Z,2013-02-25T03:17:59Z,markstory,MEMBER,lib/Cake/Utility/ViewVarsTrait.php,,,,,1,"@@ -0,0 +1,55 @@
+<?php
+/**
+ * CakePHP(tm) : Rapid Development Framework (http://cakephp.org)
+ * Copyright 2005-2012, Cake Software Foundation, Inc. (http://cakefoundation.org)
+ *
+ * Licensed under The MIT License
+ * Redistributions of files must retain the above copyright notice.
+ *
+ * @copyright     Copyright 2005-2012, Cake Software Foundation, Inc. (http://cakefoundation.org)
+ * @link          http://cakephp.org CakePHP(tm) Project
+ * @since         CakePHP(tm) v 3.0.0
+ * @license       MIT License (http://www.opensource.org/licenses/mit-license.php)
+ */
+namespace Cake\Utility;
+
+/**
+ * Provides the set() method for collecting template context.
+ *
+ * Once collected context data can be passed to another object.
+ * This is done in Controller, TemplateTask and View for example.
+ *
+ * @package Cake.Utility
+ */
+trait ViewVarsTrait {
+
+/**
+ * Variables for the view
+ *
+ * @var array
+ */
+	public $viewVars = [];
+
+/**
+ * Saves a variable for use inside a template.
+ *
+ * @param string|array $one A string or an array of data.
+ * @param string|array $two Value in case $one is a string (which then works as the key).
+ *   Unused if $one is an associative array, otherwise serves as the values to $one's keys.
+ * @return void
+ * @link http://book.cakephp.org/2.0/en/controllers.html#interacting-with-views
+ */
+	public function set($one, $two = null) {","I totally missed that, my bad. I'll get that fixed.
",0,955889c6c731a56f9cbe6f572cea4594fd887d3a
3059333,2,"Resetting validation after it finishes will just break it :(""",2013-02-18 23:08:08,lorenzo,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1149#discussion_r3059333,2013-02-19T10:08:08Z,2013-02-19T11:12:18Z,lorenzo,MEMBER,lib/Cake/Model/Validator/CakeValidationSet.php,,124.0,,,4,"@@ -121,7 +121,6 @@ public function setValidationDomain($validationDomain) {
  * @return array list of validation errors for this field
  */
 	public function validate($data, $isUpdate = false) {
-		$this->reset();","Resetting validation after it finishes will just break it :(
",0,1224ed595adb3286a6d94ddee2dab18b3a83d7ae
2427846,0,"as @ADmad and I pointed out, you need to respect the coding conventions. too many whitespaces here inside () for example.""",2012-12-14 15:18:31,dereuromark,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1026#discussion_r2427846,2012-12-15T02:18:31Z,2012-12-17T21:25:05Z,dereuromark,MEMBER,lib/Cake/View/Helper/TextHelper.php,,,,,1,"@@ -228,6 +228,29 @@ public function highlight($text, $phrase, $options = array()) {
 	}
 
 /**
+ * Formats paragraphs around given text for all line breaks
+ *  <br> added for single line return
+ *  <p> added for double line return
+ *
+ * @param string $text Text
+ * @return string The text with proper <p> tags
+ * @link http://book.cakephp.org/2.0/en/core-libraries/helpers/text.html#TextHelper::autoParagraph
+ */
+  public static function autoParagraph($text) {
+    if ( trim($text) !== '' ) {","as @ADmad and I pointed out, you need to respect the coding conventions. too many whitespaces here inside () for example.
",0,03fdd4a14bfed87d35452b5c24c67fdb9f41b6fb
2385747,0,"`return $readyFds > 0` would suffice here. also, never forget the {} for if statements""",2012-12-11 11:12:22,dereuromark,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/1017#discussion_r2385747,2012-12-11T22:12:22Z,2012-12-12T17:24:00Z,dereuromark,MEMBER,lib/Cake/Console/ConsoleInput.php,,,,,1,"@@ -48,4 +48,20 @@ public function read() {
 		return fgets($this->_input);
 	}
 
+/**
+ * Check if data is available on stdin
+ *
+ * @param integer $timeout An optional time to wait for data
+ * @return bool True for data available, false otherwise
+ */
+	public function data_avail($timeout = 0) {
+		$read_fds = array($this->_input);
+		$ready_fds = stream_select($read_fds, $w = NULL, $e = NULL, $timeout);
+
+		if($ready_fds > 0)
+			return true;
+		else
+			return false;","`return $readyFds > 0` would suffice here. also, never forget the {} for if statements
",0,d6579a983819a5a9e9209928a241bec48f3e2733
2217916,1,"yup.  i thought of that too but wanted to avoid introducing a new option. but i agree it's cleaner and less hacky.  I'll adjust the PR.  Thanks.""",2012-11-25 15:17:09,rchavik,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/974#discussion_r2217916,2012-11-26T02:17:09Z,2012-11-28T03:11:43Z,rchavik,MEMBER,lib/Cake/View/Helper/FormHelper.php,,,,,1,"@@ -1094,6 +1071,48 @@ public function input($fieldName, $options = array()) {
 			unset($options['dateFormat'], $options['timeFormat']);
 		}
 
+		return compact('options', 'label', 'modelKey', 'fieldKey', 'fieldDef',
+			'divOptions', 'radioOptions', 'error', 'selected', 'dateFormat',
+			'timeFormat');
+	}
+
+/**
+ * Generates a form input element complete with label and wrapper div
+ *
+ * ### Options
+ *
+ * See each field type method for more information. Any options that are part of
+ * $attributes or $options for the different **type** methods can be included in `$options` for input().i
+ * Additionally, any unknown keys that are not in the list below, or part of the selected type's options
+ * will be treated as a regular html attribute for the generated input.
+ *
+ * - `type` - Force the type of widget you want. e.g. `type => 'select'`
+ * - `label` - Either a string label, or an array of options for the label. See FormHelper::label()
+ * - `div` - Either `false` to disable the div, or an array of options for the div.
+ *	See HtmlHelper::div() for more options.
+ * - `options` - for widgets that take options e.g. radio, select
+ * - `error` - control the error message that is produced
+ * - `empty` - String or boolean to enable empty select box options.
+ * - `before` - Content to place before the label + input.
+ * - `after` - Content to place after the label + input.
+ * - `between` - Content to place between the label + input.
+ * - `format` - format template for element order. Any element that is not in the array, will not be in the output.
+ *	- Default input format order: array('before', 'label', 'between', 'input', 'after', 'error')
+ *	- Default checkbox format order: array('before', 'input', 'between', 'label', 'after', 'error')
+ *	- Hidden input will not be formatted
+ *	- Radio buttons cannot have the order of input and label elements controlled with these settings.
+ *
+ * @param string $fieldName This should be ""Modelname.fieldname""
+ * @param array $options Each type of input takes different options.
+ * @return string Completed form widget.
+ * @link http://book.cakephp.org/2.0/en/core-libraries/helpers/form.html#creating-form-elements
+ */
+	public function input($fieldName, $options = array()) {
+		if (!isset($options['modelKey'])) {
+			$inputOptions = $this->_inputOptions($fieldName, $options);
+			extract($inputOptions);","yup.  i thought of that too but wanted to avoid introducing a new option.
but i agree it's cleaner and less hacky.

I'll adjust the PR.

Thanks.
",0,6670997283431c81fc687b79bf2c57e62d9992f4
1942196,0,"fixed (i will install code sniffer quite soon!)""",2012-10-25 03:37:54,thepeg,cakephp,cakephp,,https://github.com/cakephp/cakephp/pull/913#discussion_r1942196,2012-10-25T15:37:54Z,2013-01-20T08:13:46Z,marcopeg,NONE,lib/Cake/Model/Validator/CakeValidationRule.php,,,,,1,"@@ -271,6 +274,17 @@ public function process($field, &$data, &$methods) {
 			$this->_valid = call_user_func_array($methods[$rule], $this->_ruleParams);
 		} elseif (class_exists('Validation') && method_exists('Validation', $this->_rule)) {
 			$this->_valid = call_user_func_array(array('Validation', $this->_rule), $this->_ruleParams);
+		} elseif (strpos($this->_rule, '::')) {
+			list($plugin, $class) = pluginSplit($this->_rule);
+			list($className,$method) = explode('::', $class);
+			$location = 'Model/Validation';
+			if ( $plugin ) $location = $plugin . '.' . $location;","fixed (i will install code sniffer quite soon!)
",0,b2cbeeeb501285431bdc7fb2a5b37f260b792261
