comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
3433566,0,"Should the signature be (d, i)?""",2013-03-19 04:33:23,jasondavies,mbostock,d3,,https://github.com/d3/d3/pull/1150#discussion_r3433566,2013-03-19T15:33:23Z,2013-03-19T16:43:17Z,jasondavies,CONTRIBUTOR,src/geom/quadtree.js,,,,,1,"@@ -1,99 +1,145 @@
+import ""../core/functor"";
+import ""../svg/line"";
 import ""geom"";
 
 d3.geom.quadtree = function(points, x1, y1, x2, y2) {
-  var p,
-      i = -1,
-      n = points.length;
+  var x = d3_svg_lineX,
+      y = d3_svg_lineY,
+      compat;
 
-  // Allow bounds to be specified explicitly.
-  if (arguments.length < 5) {
-    if (arguments.length === 3) {
+  // For backwards-compatibility.
+  if (compat = arguments.length) {
+    x = d3_geom_quadtreeCompatX;
+    y = d3_geom_quadtreeCompatY;
+    if (compat === 3) {
       y2 = y1;
       x2 = x1;
       y1 = x1 = 0;
+    }
+    return quadtree.apply(this, arguments);
+  }
+
+  function quadtree(data) {
+    var d,
+        fx = d3_functor(x),
+        fy = d3_functor(y),
+        points = [],
+        i = -1,
+        n = data.length;
+
+    if (x1 != null) {
+      while (++i < n) {
+        points.push({x: +fx.call(this, d = data[i], i), y: +fy.call(this, d, i)});
+      }
     } else {
+      // Compute bounds.
       x1 = y1 = Infinity;
       x2 = y2 = -Infinity;
-
-      // Compute bounds.
       while (++i < n) {
-        p = points[i];
-        if (p.x < x1) x1 = p.x;
-        if (p.y < y1) y1 = p.y;
-        if (p.x > x2) x2 = p.x;
-        if (p.y > y2) y2 = p.y;
+        points.push(d = {x: +fx.call(this, d = data[i], i), y: +fy.call(this, d, i)});
+        if (d.x < x1) x1 = d.x;
+        if (d.y < y1) y1 = d.y;
+        if (d.x > x2) x2 = d.x;
+        if (d.y > y2) y2 = d.y;
       }
     }
-  }
 
-  // Squarify the bounds.
-  var dx = x2 - x1,
-      dy = y2 - y1;
-  if (dx > dy) y2 = y1 + dx;
-  else x2 = x1 + dy;
-
-  // Recursively inserts the specified point p at the node n or one of its
-  // descendants. The bounds are defined by [x1, x2] and [y1, y2].
-  function insert(n, p, x1, y1, x2, y2) {
-    if (isNaN(p.x) || isNaN(p.y)) return; // ignore invalid points
-    if (n.leaf) {
-      var v = n.point;
-      if (v) {
-        // If the point at this leaf node is at the same position as the new
-        // point we are adding, we leave the point associated with the
-        // internal node while adding the new point to a child node. This
-        // avoids infinite recursion.
-        if ((Math.abs(v.x - p.x) + Math.abs(v.y - p.y)) < .01) {
-          insertChild(n, p, x1, y1, x2, y2);
+    // Squarify the bounds.
+    var dx = x2 - x1,
+        dy = y2 - y1;
+    if (dx > dy) y2 = y1 + dx;
+    else x2 = x1 + dy;
+
+    // Recursively inserts the specified point p at the node n or one of its
+    // descendants. The bounds are defined by [x1, x2] and [y1, y2].
+    function insert(n, p, x1, y1, x2, y2) {
+      if (isNaN(p.x) || isNaN(p.y)) return; // ignore invalid points
+      if (n.leaf) {
+        var v = n.point;
+        if (v) {
+          // If the point at this leaf node is at the same position as the new
+          // point we are adding, we leave the point associated with the
+          // internal node while adding the new point to a child node. This
+          // avoids infinite recursion.
+          if ((Math.abs(v.x - p.x) + Math.abs(v.y - p.y)) < .01) {
+            insertChild(n, p, x1, y1, x2, y2);
+          } else {
+            n.point = null;
+            insertChild(n, v, x1, y1, x2, y2);
+            insertChild(n, p, x1, y1, x2, y2);
+          }
         } else {
-          n.point = null;
-          insertChild(n, v, x1, y1, x2, y2);
-          insertChild(n, p, x1, y1, x2, y2);
+          n.point = p;
         }
       } else {
-        n.point = p;
+        insertChild(n, p, x1, y1, x2, y2);
       }
-    } else {
-      insertChild(n, p, x1, y1, x2, y2);
     }
-  }
 
-  // Recursively inserts the specified point p into a descendant of node n. The
-  // bounds are defined by [x1, x2] and [y1, y2].
-  function insertChild(n, p, x1, y1, x2, y2) {
-    // Compute the split point, and the quadrant in which to insert p.
-    var sx = (x1 + x2) * .5,
-        sy = (y1 + y2) * .5,
-        right = p.x >= sx,
-        bottom = p.y >= sy,
-        i = (bottom << 1) + right;
-
-    // Recursively insert into the child node.
-    n.leaf = false;
-    n = n.nodes[i] || (n.nodes[i] = d3_geom_quadtreeNode());
-
-    // Update the bounds as we recurse.
-    if (right) x1 = sx; else x2 = sx;
-    if (bottom) y1 = sy; else y2 = sy;
-    insert(n, p, x1, y1, x2, y2);
+    // Recursively inserts the specified point p into a descendant of node n. The
+    // bounds are defined by [x1, x2] and [y1, y2].
+    function insertChild(n, p, x1, y1, x2, y2) {
+      // Compute the split point, and the quadrant in which to insert p.
+      var sx = (x1 + x2) * .5,
+          sy = (y1 + y2) * .5,
+          right = p.x >= sx,
+          bottom = p.y >= sy,
+          i = (bottom << 1) + right;
+
+      // Recursively insert into the child node.
+      n.leaf = false;
+      n = n.nodes[i] || (n.nodes[i] = d3_geom_quadtreeNode());
+
+      // Update the bounds as we recurse.
+      if (right) x1 = sx; else x2 = sx;
+      if (bottom) y1 = sy; else y2 = sy;
+      insert(n, p, x1, y1, x2, y2);
+    }
+
+    // Create the root node.
+    var root = d3_geom_quadtreeNode();
+
+    root.add = function(p) {
+      insert(root, p, x1, y1, x2, y2);","Should the signature be (d, i)?
",cf5615518957fa8bff9b5f64daf8bcf45fd91dfe
2410051,1,"Yeah, great point.""",2012-12-13 06:13:35,mbostock,mbostock,d3,,https://github.com/d3/d3/pull/962#discussion_r2410051,2012-12-13T17:13:35Z,2012-12-13T17:13:35Z,mbostock,MEMBER,src/geo/albers-usa.js,,80.0,,,38,"@@ -69,3 +65,16 @@ d3.geo.albersUsa = function() {
 
   return albersUsa.scale(lower48.scale());
 };
+
+function d3_geo_albersUsaRadians(stream) {
+  return {
+    point: function(λ, φ) {
+      stream.point(λ * d3_radians, φ * d3_radians);
+    },
+    sphere: function() { stream.sphere(); },
+    lineStart: function() { stream.lineStart(); },
+    lineEnd: function() { stream.lineEnd(); },
+    polygonStart: function() { stream.polygonStart(); },
+    polygonEnd: function() { stream.polygonEnd(); }
+  };
+}","Yeah, great point.
",361cac2044605c164700252d4695f70c34c607fa
117051,1,"Neat.  I wouldn't pass up the opportunity to use a crazy trick!  :)""",2011-09-07 20:16:52,jasondavies,mbostock,d3,,https://github.com/d3/d3/pull/287#discussion_r117051,2011-09-08T08:16:52Z,2011-09-09T07:21:44Z,jasondavies,CONTRIBUTOR,src/layout/hierarchy.js,,15.0,,,7,"@@ -7,12 +7,12 @@ d3.layout.hierarchy = function() {
   // Also converts the data representation into a standard hierarchy structure.
   function recurse(data, depth, nodes) {
     var childs = children.call(hierarchy, data, depth),
+        n,
         node = d3_layout_hierarchyInline ? data : {data: data};
     node.depth = depth;
     nodes.push(node);
-    if (childs) {
+    if (childs && (n = childs.length)) {
       var i = -1,
-          n = childs.length,","Neat.  I wouldn't pass up the opportunity to use a crazy trick!  :)
",8d6511a2d08bcc406854f884df14c671e27eeeb4
39836,0,"I think we need to wrap the input data so that we store the result on invoking the value accessor. This way, you can have a non-deterministic value accessor (such as returning a random number). Also, this way we don't overwrite any fields in the current d""",2011-06-04 03:59:11,mbostock,mbostock,d3,,https://github.com/d3/d3/pull/169#discussion_r39836,2011-06-04T15:59:11Z,2011-06-04T18:00:23Z,mbostock,MEMBER,d3.chart.js,,,,,1,"@@ -736,6 +736,142 @@ function d3_chart_horizonX(d) {
 function d3_chart_horizonY(d) {
   return d[1];
 }
+d3.chart.mekko = function() {
+  var width = 1,
+      height = 1,
+      x = d3.scale.linear().range([0, width]),
+      y = d3.scale.linear().range([0, height]),
+      z = d3.scale.category10(),
+      n = d3.format("",d""),
+      p = d3.format(""%""),
+      value = d3_chartMekkoValue,
+      categoryX = d3_chartMekkoCategoryX,
+      categoryY = d3_chartMekkoCategoryY;
+
+  // For each small multiple…
+  function mekko(g) {
+    g.each(function(data, i) {
+      var offset = 0;
+
+      // Nest values by x-category. We assume each (x-category, y-category) is
+      // unique.
+      var groups = d3.nest()
+          .key(categoryX)
+          .entries(data);
+
+      // Compute the total sum, the per-x sum, and the per-y offset.
+      // You can use reduce rather than reduceRight to reverse the ordering.
+      // We also record a reference to the parent x-category for each
+      // y-category.
+      var sum = groups.reduce(function(v, p) {
+        return (p.offset = v) + (p.sum = p.values.reduceRight(function(v, d) {
+          d.parent = p;
+          return (d.offset = v) + value.call(this, d);","I think we need to wrap the input data so that we store the result on invoking the value accessor. This way, you can have a non-deterministic value accessor (such as returning a random number). Also, this way we don't overwrite any fields in the current data by setting `parent` and `offset`. I'm thinking a similar model to the hierarchy layouts, there the data is converted into a standard format:

```
{parent: …, offset: …, value: …, data: d}
```
",4358cea0eade9372213deba69cf18b96e9aef4e5
24238,1,"Fun trick: you can use `Object` instead of `function(d) { return d; }`. But the identity function is probably more readable. :)""",2011-04-28 17:38:55,mbostock,mbostock,d3,,https://github.com/d3/d3/pull/125#discussion_r24238,2011-04-29T05:38:55Z,2011-04-29T09:17:26Z,mbostock,MEMBER,examples/spline/spline.js,,39.0,,,1,"@@ -0,0 +1,124 @@
+var w = 800,
+    h = 600,
+    p = 20;
+
+var points = d3.range(1, 5).map(function(i) {
+  return [
+    i * w / 5,
+    50 + Math.random() * (h - 100)
+  ];
+});
+
+var selected = points[0];
+
+var wrapper = d3.select(""#chart"")
+  .append(""svg:svg"")
+    .attr(""width"", w + p * 2)
+    .attr(""height"", h + p * 2);
+
+var vis = wrapper.append(""svg:g"")
+    .attr(""transform"", ""translate("" + p + "","" + p + "")"");
+
+// Use <rect> to ensure all ""mousemove"" events are captured.
+vis.append(""svg:rect"")
+    .attr(""fill"", ""#fff"")
+    .attr(""width"", w)
+    .attr(""height"", h);
+
+var line = d3.svg.line()
+    .x(function(d) { return d[0]; })
+    .y(function(d) { return d[1]; });
+
+function update() {
+  var path = vis.selectAll(""path"")
+    .data(points.length ? [points] : []);
+
+  path.enter().append(""svg:path"")
+      .attr(""class"", ""line"")
+      .attr(""d"", line);
+
+  path.attr(""d"", line);
+
+  path.exit().remove();
+
+  var circle = vis.selectAll(""circle"")
+      .data(points, function(d) { return d; });","Fun trick: you can use `Object` instead of `function(d) { return d; }`. But the identity function is probably more readable. :)
",1c2546050f91cc93dcd6960a4d317e3176b5b8aa
4304410,1,"Yep, that makes perfect sense""",2013-05-20 08:08:42,krikrou,mbostock,d3,,https://github.com/d3/d3/pull/1256#discussion_r4304410,2013-05-20T20:08:42Z,2013-05-20T21:00:51Z,christophe-g,NONE,d3.js,,,,,1,"@@ -277,13 +277,18 @@ d3 = function() {
     }
     function entries(map, depth) {
       if (depth >= keys.length) return map;
-      var array = [], sortKey = sortKeys[depth++];
+      var array = [], apply = applies[depth], sortKey = sortKeys[depth++];
       map.forEach(function(key, keyMap) {
         array.push({
           key: key,
           values: entries(keyMap, depth)
         });
       });
+      if (apply) {
+        array.map(function(a) {","Yep, that makes perfect sense
",06a998af19bc9358c75fbac269ae2b47e824bb54
3434461,0,"Oops, I didn't mean to add `i` to the public signature; I was thinking more like this:  ```js root.add = function(d) {   insert(root, d, +fx(d, ++i), +fy(d, i), x1_, y1_, x2_, y2_); };  i = -1; points.forEach(root.add); return root; ```""",2013-03-19 05:12:08,mbostock,mbostock,d3,,https://github.com/d3/d3/pull/1150#discussion_r3434461,2013-03-19T16:12:08Z,2013-03-19T16:43:17Z,mbostock,MEMBER,src/geom/quadtree.js,,120.0,,,1,"@@ -1,104 +1,157 @@
+import ""../core/functor"";
+import ""../svg/line"";
 import ""geom"";
 
 d3.geom.quadtree = function(points, x1, y1, x2, y2) {
-  var p,
-      i = -1,
-      n = points.length;
+  var x = d3_svg_lineX,
+      y = d3_svg_lineY,
+      compat;
 
-  // Allow bounds to be specified explicitly.
-  if (arguments.length < 5) {
-    if (arguments.length === 3) {
+  // For backwards-compatibility.
+  if (compat = arguments.length) {
+    x = d3_geom_quadtreeCompatX;
+    y = d3_geom_quadtreeCompatY;
+    if (compat === 3) {
       y2 = y1;
       x2 = x1;
       y1 = x1 = 0;
-    } else {
-      x1 = y1 = Infinity;
-      x2 = y2 = -Infinity;
+    }
+    return quadtree(points);
+  }
+
+  function quadtree(data) {
+    var d,
+        fx = d3_functor(x),
+        fy = d3_functor(y),
+        points,
+        i,
+        n = data.length,
+        x1_,
+        y1_,
+        x2_,
+        y2_;
+
+    if (compat) points = data;
+    else for (points = [], i = 0; i < n; ++i) {
+      points.push({x: +fx(d = data[i], i), y: +fy(d, i)});
+    }
 
+    if (x1 != null) {
+      x1_ = x1, y1_ = y1, x2_ = x2, y2_ = y2;
+    } else {
       // Compute bounds.
-      while (++i < n) {
-        p = points[i];
-        if (p.x < x1) x1 = p.x;
-        if (p.y < y1) y1 = p.y;
-        if (p.x > x2) x2 = p.x;
-        if (p.y > y2) y2 = p.y;
+      x2_ = y2_ = -(x1_ = y1_ = Infinity);
+      for (i = 0; i < n; ++i) {
+        d = data[i];
+        if (d.x < x1_) x1_ = d.x;
+        if (d.y < y1_) y1_ = d.y;
+        if (d.x > x2_) x2_ = d.x;
+        if (d.y > y2_) y2_ = d.y;
       }
     }
-  }
 
-  // Squarify the bounds.
-  var dx = x2 - x1,
-      dy = y2 - y1;
-  if (dx > dy) y2 = y1 + dx;
-  else x2 = x1 + dy;
-
-  // Recursively inserts the specified point p at the node n or one of its
-  // descendants. The bounds are defined by [x1, x2] and [y1, y2].
-  function insert(n, p, x1, y1, x2, y2) {
-    if (isNaN(p.x) || isNaN(p.y)) return; // ignore invalid points
-    if (n.leaf) {
-      var v = n.point;
-      if (v) {
-        // If the point at this leaf node is at the same position as the new
-        // point we are adding, we leave the point associated with the
-        // internal node while adding the new point to a child node. This
-        // avoids infinite recursion.
-        if ((Math.abs(v.x - p.x) + Math.abs(v.y - p.y)) < .01) {
-          insertChild(n, p, x1, y1, x2, y2);
+    // Squarify the bounds.
+    var dx = x2_ - x1_,
+        dy = y2_ - y1_;
+    if (dx > dy) y2_ = y1_ + dx;
+    else x2_ = x1_ + dy;
+
+    // Recursively inserts the specified point p at the node n or one of its
+    // descendants. The bounds are defined by [x1, x2] and [y1, y2].
+    function insert(n, d, x, y, x1, y1, x2, y2) {
+      if (isNaN(x) || isNaN(y)) return; // ignore invalid points
+      if (n.leaf) {
+        var nx = n.x,
+            ny = n.y;
+        if (nx != null) {
+          // If the point at this leaf node is at the same position as the new
+          // point we are adding, we leave the point associated with the
+          // internal node while adding the new point to a child node. This
+          // avoids infinite recursion.
+          if ((Math.abs(nx - x) + Math.abs(ny - y)) < .01) {
+            insertChild(n, d, x, y, x1, y1, x2, y2);
+          } else {
+            var nPoint = n.point;
+            n.x = n.y = n.point = null;
+            insertChild(n, nPoint, nx, ny, x1, y1, x2, y2);
+            insertChild(n, d, x, y, x1, y1, x2, y2);
+          }
         } else {
-          n.point = null;
-          insertChild(n, v, x1, y1, x2, y2);
-          insertChild(n, p, x1, y1, x2, y2);
+          n.x = x, n.y = y, n.point = d;
         }
       } else {
-        n.point = p;
+        insertChild(n, d, x, y, x1, y1, x2, y2);
       }
-    } else {
-      insertChild(n, p, x1, y1, x2, y2);
     }
-  }
 
-  // Recursively inserts the specified point p into a descendant of node n. The
-  // bounds are defined by [x1, x2] and [y1, y2].
-  function insertChild(n, p, x1, y1, x2, y2) {
-    // Compute the split point, and the quadrant in which to insert p.
-    var sx = (x1 + x2) * .5,
-        sy = (y1 + y2) * .5,
-        right = p.x >= sx,
-        bottom = p.y >= sy,
-        i = (bottom << 1) + right;
-
-    // Recursively insert into the child node.
-    n.leaf = false;
-    n = n.nodes[i] || (n.nodes[i] = d3_geom_quadtreeNode());
-
-    // Update the bounds as we recurse.
-    if (right) x1 = sx; else x2 = sx;
-    if (bottom) y1 = sy; else y2 = sy;
-    insert(n, p, x1, y1, x2, y2);
+    // Recursively inserts the specified point [x, y] into a descendant of node
+    // n. The bounds are defined by [x1, x2] and [y1, y2].
+    function insertChild(n, d, x, y, x1, y1, x2, y2) {
+      // Compute the split point, and the quadrant in which to insert p.
+      var sx = (x1 + x2) * .5,
+          sy = (y1 + y2) * .5,
+          right = x >= sx,
+          bottom = y >= sy,
+          i = (bottom << 1) + right;
+
+      // Recursively insert into the child node.
+      n.leaf = false;
+      n = n.nodes[i] || (n.nodes[i] = d3_geom_quadtreeNode());
+
+      // Update the bounds as we recurse.
+      if (right) x1 = sx; else x2 = sx;
+      if (bottom) y1 = sy; else y2 = sy;
+      insert(n, d, x, y, x1, y1, x2, y2);
+    }
+
+    // Create the root node.
+    var root = d3_geom_quadtreeNode();
+
+    root.add = function(d, i) {
+      insert(root, d, +fx(d, i), +fy(d, i), x1_, y1_, x2_, y2_);
+    };","Oops, I didn't mean to add `i` to the public signature; I was thinking more like this:

``` js
root.add = function(d) {
  insert(root, d, +fx(d, ++i), +fy(d, i), x1_, y1_, x2_, y2_);
};

i = -1;
points.forEach(root.add);
return root;
```
",cf5615518957fa8bff9b5f64daf8bcf45fd91dfe
515938,1,"Yeah, I had that to start off with. :) On second thoughts, it's nicer to keep this future-compatible with *-closed interpolators (as well as being shorter) so I've updated it.""",2012-03-04 08:42:59,jasondavies,mbostock,d3,,https://github.com/d3/d3/pull/581#discussion_r515938,2012-03-04T19:42:59Z,2012-03-04T19:42:59Z,jasondavies,CONTRIBUTOR,src/svg/area.js,,,,,1,"@@ -58,6 +59,7 @@ function d3_svg_area(projection) {
     if (!d3_svg_lineInterpolators.has(x += """")) x = d3_svg_lineInterpolatorDefault;
     i0 = d3_svg_lineInterpolators.get(interpolate = x);
     i1 = i0.reverse || i0;
+    moveOrLine = x === ""basis-closed"" || x === ""cardinal-closed"" ? ""M"" : ""L"";","Yeah, I had that to start off with. :) On second thoughts, it's nicer to keep this future-compatible with *-closed interpolators (as well as being shorter) so I've updated it.
",1638d96d72a0002a165357a345f457a4479348f9
165487,0,"Should this be initialized with scale(200)? I believe the default d3.geo.zoom scale is 500.""",2011-10-11 10:05:14,mbostock,mbostock,d3,,https://github.com/d3/d3/pull/318#discussion_r165487,2011-10-11T22:05:14Z,2012-07-19T15:42:45Z,mbostock,MEMBER,src/geo/azimuthal.js,,,,,1,"@@ -1,9 +1,8 @@
 // TODO clip input coordinates on opposite hemisphere
 d3.geo.azimuthal = function() {
   var mode = ""orthographic"", // or stereographic, gnomonic, equidistant or equalarea
+      zoom = d3.geo.zoom(),","Should this be initialized with scale(200)? I believe the default d3.geo.zoom scale is 500.
",a74c1f8903b0fd34b00b0b6522fdb558fc0fdcaa
1199676,0,"Instead of sniffing for IE, you can use the IE-specific [`document.documentMode`](http://msdn.microsoft.com/en-us/library/ie/cc196988\(v=vs.85\).aspx) property.""",2012-07-19 06:31:45,kitcambridge,mbostock,d3,,https://github.com/d3/d3/pull/231#discussion_r1199676,2012-07-19T18:31:45Z,2012-07-19T18:31:45Z,,NONE,src/core/ie.js,,27.0,,,27,"@@ -0,0 +1,30 @@
+// Returns the version of Internet Explorer or a -1
+// (indicating the use of another browser).
+var ie = (function getInternetExplorerVersion()
+{
+  var result = -1; 
+  if (navigator.appName == 'Microsoft Internet Explorer')
+  {
+    var ua = navigator.userAgent;
+    var re  = new RegExp(""MSIE ([0-9]{1,}[\.0-9]{0,})"");
+    if (re.exec(ua) != null)
+      result = parseFloat( RegExp.$1 );
+  }
+  return result;
+})();
+
+// Does the browser support style.setProperty, IE9 and below don't
+var d3_setStyleProperty = (ie > -1) ?
+    function(obj, name, value, priority) { obj.style[name] = value; }  :
+    function(obj, name, value, priority) { obj.style.setProperty(name, value, priority); };
+
+// Does the browser support style.removeProperty, IE8 and below don't
+var d3_removeStyleProperty = (ie > -1 && ie < 9) ?
+    function(obj, name) { delete obj.style[name]; }  :
+    function(obj, name) { obj.style.removeProperty(name); };
+
+// Does the browser support style.getPropertyValue, IE8 and below don't
+var d3_getStylePropertyValue = (ie > -1 && ie < 9) ?","Instead of sniffing for IE, you can use the IE-specific [`document.documentMode`](http://msdn.microsoft.com/en-us/library/ie/cc196988%28v=vs.85%29.aspx) property.
",e921980e76536ca214f7f63e2cbe36eb116af813
