comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
5095967,1,"Oooh, thanks!""",2013-07-09 05:27:58,ben,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1317#discussion_r5095967,2013-07-09T17:27:58Z,2013-10-28T18:21:29Z,ben,MEMBER,src/blame.c,,,,,1,"@@ -0,0 +1,753 @@
+/*
+ * Copyright (C) the libgit2 contributors. All rights reserved.
+ *
+ * This file is part of libgit2, distributed under the GNU GPL v2 with
+ * a Linking Exception. For full terms see the included COPYING file.
+ */
+
+#include ""blame.h""
+#include ""git2/commit.h""
+#include ""git2/revparse.h""
+#include ""git2/revwalk.h""
+#include ""git2/tree.h""
+#include ""git2/diff.h""
+#include ""git2/blob.h""
+#include ""util.h""
+#include ""repository.h""
+
+#if 0
+#define DO_DEBUG
+#define DEBUGF(...) printf(__VA_ARGS__)
+static void dump_hunks(git_blame *blame)
+{
+	size_t i;
+	git_blame_hunk *hunk;
+	char str[41] = {0};
+	char *path;
+
+	DEBUGF(""Paths watched: "");
+	git_vector_foreach(&blame->paths, i, path) {
+		DEBUGF(""%s   "", path);
+	}
+	DEBUGF(""\n"");
+
+	git_vector_foreach(&blame->hunks, i, hunk) {
+		git_oid_tostr(str, 9, &hunk->final_commit_id);
+		DEBUGF(""CLAIMED: %2d +%d (orig %2d) %s (from %s)\n"",
+				hunk->final_start_line_number,
+				hunk->lines_in_hunk - 1,
+				hunk->orig_start_line_number,
+				str,
+				hunk->orig_path);
+	}
+	git_vector_foreach(&blame->unclaimed_hunks, i, hunk) {
+		DEBUGF(""UNCLAIMED: %d +%d\n"",
+				hunk->final_start_line_number,
+				hunk->lines_in_hunk - 1);
+	}
+	GIT_UNUSED(blame);
+}
+#else
+#define DEBUGF(...)
+#define dump_hunks(x)
+#endif
+
+static int hunk_byline_search_cmp(const void *key, const void *entry)
+{
+	uint32_t lineno = *(size_t*)key;
+	git_blame_hunk *hunk = (git_blame_hunk*)entry;
+
+	if (lineno < hunk->final_start_line_number)
+		return -1;
+	if (lineno > ((uint32_t)hunk->final_start_line_number + hunk->lines_in_hunk))
+		return 1;
+	return 0;
+}
+
+static int hunk_sort_cmp_by_start_line(const void *_a, const void *_b)
+{
+	git_blame_hunk *a = (git_blame_hunk*)_a,
+						*b = (git_blame_hunk*)_b;
+
+	return a->final_start_line_number - b->final_start_line_number;
+}
+
+static bool line_is_at_end_of_hunk(size_t line, git_blame_hunk *hunk)
+{
+	return line >= (hunk->final_start_line_number + hunk->lines_in_hunk - 1);
+}
+
+static bool line_is_at_start_of_hunk(size_t line, git_blame_hunk *hunk)
+{
+	return line <= hunk->final_start_line_number;
+}
+
+static git_blame_hunk* new_hunk(uint16_t start, uint16_t lines, uint16_t orig_start, const char *path)
+{
+	git_blame_hunk *hunk = git__calloc(1, sizeof(git_blame_hunk));
+	if (!hunk) return NULL;
+
+	hunk->lines_in_hunk = lines;
+	hunk->final_start_line_number = start;
+	hunk->orig_start_line_number = orig_start;
+	hunk->orig_path = git__strdup(path);
+
+	return hunk;
+}
+
+static git_blame_hunk* dup_hunk(git_blame_hunk *hunk)
+{
+	git_blame_hunk *newhunk = new_hunk(hunk->final_start_line_number, hunk->lines_in_hunk, hunk->orig_start_line_number, hunk->orig_path);
+	git_oid_cpy(&newhunk->orig_commit_id, &hunk->orig_commit_id);
+	git_oid_cpy(&newhunk->final_commit_id, &hunk->final_commit_id);
+	return newhunk;
+}
+
+static void free_hunk(git_blame_hunk *hunk)
+{
+	git__free((void*)hunk->orig_path);
+	git__free(hunk);
+}
+
+static int paths_cmp(const void *a, const void *b) { return git__strcmp((char*)a, (char*)b); }
+static void add_if_not_present(git_vector *v, const char *value)
+{
+	git_vector_insert_sorted(v, (void*)git__strdup(value), NULL);
+}
+
+git_blame* git_blame__alloc(
+	git_repository *repo,
+	git_blame_options opts,
+	const char *path)
+{
+	git_blame *gbr = (git_blame*)calloc(1, sizeof(git_blame));
+	if (!gbr) {
+		giterr_set_oom();
+		return NULL;
+	}
+	git_vector_init(&gbr->hunks, 8, hunk_sort_cmp_by_start_line);
+	git_vector_init(&gbr->unclaimed_hunks, 8, hunk_sort_cmp_by_start_line);
+	git_vector_init(&gbr->paths, 8, paths_cmp);
+	gbr->repository = repo;
+	gbr->options = opts;
+	gbr->path = git__strdup(path);
+	git_vector_insert(&gbr->paths, git__strdup(path));
+	gbr->final_blob = NULL;
+	return gbr;
+}
+
+void git_blame_free(git_blame *blame)
+{
+	size_t i;
+	git_blame_hunk *hunk;
+	char *path;
+
+	if (!blame) return;
+
+	git_vector_foreach(&blame->hunks, i, hunk)
+		free_hunk(hunk);
+	git_vector_free(&blame->hunks);
+
+	git_vector_foreach(&blame->unclaimed_hunks, i, hunk)
+		free_hunk(hunk);
+	git_vector_free(&blame->unclaimed_hunks);
+
+	git_vector_foreach(&blame->paths, i, path)
+		git__free(path);
+	git_vector_free(&blame->paths);
+
+	git__free((void*)blame->path);
+	git_blob_free(blame->final_blob);
+	git__free(blame);
+}
+
+/*
+ * Construct a list of char indices for where lines begin
+ * Adapted from core git:
+ * https://github.com/gitster/git/blob/be5c9fb9049ed470e7005f159bb923a5f4de1309/builtin/blame.c#L1760-L1789
+ */
+static int index_blob_lines(git_blame *blame)
+{
+	const char *final_buf = git_blob_rawcontent(blame->final_blob);
+	const char *buf = final_buf;
+	git_off_t len = git_blob_rawsize(blame->final_blob);
+	int num = 0, incomplete = 0, bol = 1;
+
+	if (len && buf[len-1] != '\n')
+		incomplete++; /* incomplete line at the end */
+	while (len--) {
+		if (bol) {
+			blame->line_index = realloc(blame->line_index,
+					sizeof(int *) * (num + 1));
+			blame->line_index[num] = buf - final_buf;
+			bol = 0;
+		}
+		if (*buf++ == '\n') {
+			num++;
+			bol = 1;
+		}
+	}
+	blame->line_index = realloc(blame->line_index,
+			sizeof(int *) * (num + incomplete + 1));
+	blame->line_index[num + incomplete] = buf - final_buf;
+	blame->num_lines = num + incomplete;
+	return 0;
+}
+
+uint32_t git_blame_get_hunk_count(git_blame *blame)
+{
+	assert(blame);
+	return blame->hunks.length;
+}
+
+const git_blame_hunk *git_blame_get_hunk_byindex(git_blame *blame, uint32_t index)
+{
+	assert(blame);
+	return (git_blame_hunk*)git_vector_get(&blame->hunks, index);
+}
+
+const git_blame_hunk *git_blame_get_hunk_byline(git_blame *blame, uint32_t lineno)
+{
+	size_t i;
+	assert(blame);
+
+	if (!git_vector_bsearch2( &i, &blame->hunks, hunk_byline_search_cmp, &lineno)) {
+		return git_blame_get_hunk_byindex(blame, i);
+	}
+
+	return NULL;
+}
+
+static void normalize_options(
+		git_blame_options *out,
+		const git_blame_options *in,
+		git_repository *repo)
+{
+	git_blame_options dummy = GIT_BLAME_OPTIONS_INIT;
+	if (!in) in = &dummy;
+
+	memmove(out, in, sizeof(git_blame_options));
+
+	/* No newest_commit => HEAD */
+	if (git_oid_iszero(&out->newest_commit)) {
+		git_object *obj;
+		git_revparse_single(&obj, repo, ""HEAD"");
+		git_oid_cpy(&out->newest_commit, git_object_id(obj));
+		git_object_free(obj);
+	}
+}
+
+
+/*******************************************************************************
+ * Trivial blaming
+ *******************************************************************************/
+
+static int ptrs_equal_cmp(const void *a, const void *b) {
+	return
+		a < b ? -1 :
+		a > b ? 1  :
+		0;
+}
+
+static int trivial_file_cb(
+	const git_diff_delta *delta,
+	float progress,
+	void *payload)
+{
+	git_blame *blame = (git_blame*)payload;
+
+	GIT_UNUSED(progress);
+
+	blame->trivial_file_match = !git_vector_search(NULL, &blame->paths, delta->new_file.path);
+
+	/* File renames should be followed */
+	if (blame->trivial_file_match)
+		add_if_not_present(&blame->paths, delta->old_file.path);
+
+	return 0;
+}
+
+static int trivial_hunk_cb(
+	const git_diff_delta *delta,
+	const git_diff_range *range,
+	const char *header,
+	size_t header_len,
+	void *payload)
+{
+	git_blame *blame = (git_blame*)payload;
+
+	if (!blame->trivial_file_match) return 0;
+
+	GIT_UNUSED(header);
+	GIT_UNUSED(header_len);
+
+	if (git__strcmp(blame->path, delta->old_file.path)) {
+		DEBUGF(""===> Now tracking %s through %s\n"", blame->path, delta->old_file.path);
+	}
+
+	DEBUGF(""  Hunk: %s (%d-%d) <- %s (%d-%d)\n"",
+			delta->new_file.path,
+			range->new_start, range->new_start + max(0, range->new_lines - 1),
+			delta->old_file.path,
+			range->old_start, range->old_start + max(0, range->old_lines - 1));
+
+	blame->current_diff_line = range->new_start;
+
+	return 0;
+}
+
+static const char* raw_line(git_blame *blame, size_t i)
+{
+	return ((const char*)git_blob_rawcontent(blame->final_blob)) +
+		blame->line_index[i-1];
+}
+
+static git_blame_hunk *split_hunk_in_vector(git_vector *vec, git_blame_hunk *hunk, size_t at_line, bool return_new)
+{
+	size_t new_line_count;
+	git_blame_hunk *nh;
+
+	/* Don't split if already at a boundary */
+	if (line_is_at_start_of_hunk(at_line, hunk) ||
+	    line_is_at_end_of_hunk(at_line-1, hunk))
+	{
+		DEBUGF(""Not splitting hunk (%zd +%zd) at line %zd\n"",
+				hunk->final_start_line_number, hunk->lines_in_hunk-1, at_line);
+		return hunk;
+	}
+
+	new_line_count = hunk->final_start_line_number + hunk->lines_in_hunk - at_line;
+	DEBUGF(""Splitting hunk at line %zu (+%zu)\n"", at_line, new_line_count-1);
+	nh = new_hunk(at_line, new_line_count, at_line, hunk->orig_path);
+	git_oid_cpy(&nh->final_commit_id, &hunk->final_commit_id);
+	git_oid_cpy(&nh->orig_commit_id, &hunk->orig_commit_id);
+	hunk->lines_in_hunk -= (new_line_count);
+	git_vector_insert_sorted(vec, nh, NULL);
+	return return_new ? nh : hunk;
+}
+
+static void claim_hunk(git_blame *blame, git_blame_hunk *hunk, const char *orig_path)
+{
+	size_t i;
+
+#ifdef DO_DEBUG
+	{
+		char str[41]={0};
+		git_oid_tostr(str, 9, &blame->current_commit);
+		DEBUGF(""Claiming hunk for %s\n"", str);
+	}
+#endif
+
+	if (!git_vector_search2(&i, &blame->unclaimed_hunks, ptrs_equal_cmp, hunk)) {
+		git_vector_remove(&blame->unclaimed_hunks, i);
+	}
+
+	git_oid_cpy(&hunk->final_commit_id, &blame->current_commit);
+	git_oid_cpy(&hunk->orig_commit_id, &blame->current_commit);
+	hunk->orig_path = git__strdup(orig_path);
+
+	git_vector_insert_sorted(&blame->hunks, hunk, NULL);
+	blame->current_hunk = NULL;
+	dump_hunks(blame);
+}
+
+static void close_and_claim_current_hunk(git_blame *blame, const char *orig_path)
+{
+	size_t i;
+	git_blame_hunk *hunk = blame->current_hunk;
+
+	if (!hunk) {
+		DEBUGF(""Can't close NULL hunk\n"");
+		return;
+	}
+
+	DEBUGF(""Closing hunk at line %zu ('%s')\n"", blame->current_blame_line, orig_path);
+
+	/* Split this hunk if its end isn't at the current line */
+	hunk = split_hunk_in_vector(&blame->unclaimed_hunks, blame->current_hunk, blame->current_blame_line+1, false);
+
+	claim_hunk(blame, blame->current_hunk, orig_path);
+}
+
+static void match_line(git_blame *blame, const char *line, size_t len, const char *orig_path)
+{
+	git_blame_hunk *hunk = blame->current_hunk;
+	const char *raw = raw_line(blame, blame->current_blame_line);
+	size_t i, j;
+
+	/* First, try the current hunk's current line. */
+	if (hunk && !memcmp(raw, line, len)) {
+		DEBUGF(""•\n"");
+		return;
+	}
+
+	/* Blank lines shouldn't be searched for too hard */
+	if (len == 1) {
+		DEBUGF(""Blank line, giving up\n"");
+		return;
+	}
+
+	/* Do a linear search for a matching line in all unclaimed hunks */
+	git_vector_foreach(&blame->unclaimed_hunks, i, hunk) {
+		for (j = hunk->final_start_line_number;
+		     j < (size_t)hunk->final_start_line_number + hunk->lines_in_hunk;
+		     j++)
+		{
+			if (!memcmp(raw_line(blame, j), line, len)) {
+				close_and_claim_current_hunk(blame, orig_path);
+
+				DEBUGF(""matched at line %zu\n"", j);
+				blame->current_hunk = hunk;
+				blame->current_blame_line = j;
+				blame->current_hunk = split_hunk_in_vector(&blame->unclaimed_hunks, blame->current_hunk, j, true);
+				blame->current_hunk->orig_start_line_number = blame->current_diff_line;
+				return;
+			}
+		}
+	}
+
+	/* If we get this far, we didn't find a matching line. */
+	DEBUGF(""***Couldn't find string anywhere!\n"");
+	close_and_claim_current_hunk(blame, orig_path);
+}
+
+static int trivial_line_cb(
+	const git_diff_delta *delta,
+	const git_diff_range *range,
+	char line_origin,
+	const char *content,
+	size_t content_len,
+	void *payload)
+{
+	git_blame *blame = (git_blame*)payload;
+	git_blame_hunk *curhunk = blame->current_hunk;
+	if (!blame->trivial_file_match) return 0;
+
+#ifdef DO_DEBUG
+	{
+		char *str = git__substrdup(content, content_len);
+		DEBUGF(""    %c %zu %s"", line_origin, blame->current_diff_line, str);
+		git__free(str);
+	}
+#endif
+
+	if (line_origin == GIT_DIFF_LINE_ADDITION)
+		match_line(blame, content, content_len, delta->new_file.path);
+	/* DEBUGF(""(done with line %zu of %d)\n"", 
+			blame->current_diff_line,
+			range->new_start + range->new_lines); */
+
+	/* End of blame hunk or diff hunk? Close it off and claim it */
+	if ((blame->current_diff_line >= (size_t)(range->new_start + range->new_lines - 1)) ||
+	    (curhunk && (blame->current_blame_line >=
+	         (size_t)(curhunk->final_start_line_number + curhunk->lines_in_hunk - 1))))
+	{
+		close_and_claim_current_hunk(blame, delta->new_file.path);
+	}
+
+	if (line_origin == GIT_DIFF_LINE_ADDITION) {
+		blame->current_blame_line++;
+		blame->current_diff_line++;
+	}
+
+	return 0;
+}
+
+static int trivial_match(git_diff_list *diff, git_blame *blame)
+{
+	int error = git_diff_foreach(diff, trivial_file_cb, trivial_hunk_cb, trivial_line_cb, blame);
+	blame->current_hunk = NULL;
+	return error;
+}
+
+static int walk_and_mark(git_blame *blame, git_revwalk *walk)
+{
+	git_oid oid;
+	int error;
+
+	while (!(error = git_revwalk_next(&oid, walk))) {
+		git_commit *commit = NULL,
+		           *parent = NULL;
+		git_tree *committree = NULL,
+		         *parenttree = NULL;
+		git_diff_list *diff = NULL;
+		git_diff_options diffopts = GIT_DIFF_OPTIONS_INIT;
+		git_diff_find_options diff_find_opts = GIT_DIFF_FIND_OPTIONS_INIT;
+
+#ifdef DO_DEBUG
+		{
+			char str[41] = {0};
+			git_oid_tostr(str, 9, &oid);
+			DEBUGF(""Rev %s\n"", str);
+		}
+#endif
+
+		if ((error = git_commit_lookup(&commit, blame->repository, &oid)) < 0)
+			break;
+
+		/* TODO: consider merge commits */
+		if (git_commit_parentcount(commit) > 1)
+			continue;
+
+		error = git_commit_parent(&parent, commit, 0);
+		if (error != 0 && error != GIT_ENOTFOUND)
+			goto cleanup;
+
+		/* Get the trees from this commit and its parent */
+		if ((error = git_commit_tree(&committree, commit)) < 0)
+			goto cleanup;
+		if (parent && ((error = git_commit_tree(&parenttree, parent)) < 0))
+			goto cleanup;
+
+		/* Configure the diff */
+		diffopts.context_lines = 0;
+
+		/* Check to see if files we're interested in have changed */
+		diffopts.pathspec.count = blame->paths.length;
+		diffopts.pathspec.strings = (char**)blame->paths.contents;
+		if ((error = git_diff_tree_to_tree(&diff, blame->repository, parenttree, committree, &diffopts)) < 0)
+			goto cleanup;
+
+		/* Generate a full diff between the two trees */
+		if (git_diff_num_deltas(diff) > 0) {
+			diffopts.pathspec.count = 0;
+			if ((error = git_diff_tree_to_tree(&diff, blame->repository, parenttree, committree, &diffopts)) < 0)","Oooh, thanks!
",7dcb1c452582d2a83ca1ad8858cb95ab20d6e13d
5910736,0,"Word.""",2013-08-21 10:00:48,vmg,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1804#discussion_r5910736,2013-08-21T22:00:48Z,2013-08-28T13:30:34Z,vmg,MEMBER,include/git2/diff.h,,,,,1,"@@ -454,6 +454,9 @@ typedef int (*git_diff_data_cb)(
 	GIT_DIFF_FIND_DONT_IGNORE_WHITESPACE = (1 << 13),
 	/** measure similarity only by comparing SHAs (fast and cheap) */
 	GIT_DIFF_FIND_EXACT_MATCH_ONLY = (1 << 14),
+
+	/** do not break rewrites unless they contribute to a rename */
+	GIT_DIFF_FIND_REWRITES_FOR_RENAMES_ONLY = (1 << 15),","Word.
",17c7fbf6d276443344c54f55800367b9837c0259
5698732,1,"Yeah, I may have been a bit overzealous. This is a great suggestion, I'll switch them over.""",2013-08-10 09:58:26,ben,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1767#discussion_r5698732,2013-08-10T21:58:26Z,2013-08-13T17:20:38Z,ben,MEMBER,src/win32/utf-conv.h,,,,,1,"@@ -6,14 +6,30 @@
  */
 
 #include <wchar.h>
+#include ""common.h""
 
 #ifndef INCLUDE_git_utfconv_h__
 #define INCLUDE_git_utfconv_h__
 
-#define GIT_WIN_PATH (260 + 1)
+#define GIT_WIN_PATH_UTF16 (260 + 1)
+#define GIT_WIN_PATH_UTF8  (260 * 4 + 1)
 
-int git__utf8_to_16(wchar_t *dest, size_t length, const char *src);
-int git__utf16_to_8(char *dest, const wchar_t *src);
+typedef wchar_t git_win32_path_utf16[GIT_WIN_PATH_UTF16];
+typedef char git_win32_path_utf8[GIT_WIN_PATH_UTF8];
 
-#endif
+/** dest_size is the size of dest in wchar_t's */
+int git__utf8_to_16(wchar_t *dest, size_t dest_size, const char *src);
+/** dest_size is the size of dest in char's */
+int git__utf16_to_8(char *dest, size_t dest_size, const wchar_t *src);
+
+GIT_INLINE(int) git__win32_path_utf8_to_16(git_win32_path_utf16 dest, const git_win32_path_utf8 src)","Yeah, I may have been a bit overzealous. This is a great suggestion, I'll switch them over.
",0228a514294bcb9d23bf24c61199a1a3e34d4772
4322056,1,"Doh. Fixed!""",2013-05-21 05:34:47,nulltoken,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1594#discussion_r4322056,2013-05-21T17:34:47Z,2013-05-21T17:34:47Z,nulltoken,MEMBER,tests-clar/object/tag/write.c,,,,,1,"@@ -220,3 +220,41 @@ void test_object_tag_write__deleting_with_an_invalid_name_returns_EINVALIDSPEC(v
 {
 	cl_assert_equal_i(GIT_EINVALIDSPEC, git_tag_delete(g_repo, ""Inv@{id""));
 }
+
+void create_annotation(git_oid *tag_id, const char *name)
+{
+	git_object *target;
+	git_oid target_id;
+	git_signature *tagger;
+
+	cl_git_pass(git_signature_new(&tagger, tagger_name, tagger_email, 123456789, 60));
+
+	git_oid_fromstr(&target_id, tagged_commit);
+	cl_git_pass(git_object_lookup(&target, g_repo, &target_id, GIT_OBJ_COMMIT));
+
+	cl_git_pass(git_tag_annotation_create(tag_id, g_repo, name, target, tagger, ""boom!""));
+	git_object_free(target);
+	git_signature_free(tagger);
+}
+
+void test_object_tag_write__creating_an_annotation_stores_the_new_object_in_the_obd(void)","Doh. Fixed!
",b81cc1d63bb42dde993979cda49550d2c224d9ed
4173070,0,"So yes, ```libssh2_userauth_publickey_fromfile``` wraps ```libssh2_userauth_publickey``` but if you have already read and parsed the key, no need to go back to the disk and parse it again.""",2013-05-10 03:42:57,bmorganpa,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1558#discussion_r4173070,2013-05-10T15:42:57Z,2013-05-15T16:51:46Z,bmorganpa,NONE,include/git2/transport.h,,,,,1,"@@ -57,6 +84,42 @@
 	const char *username,
 	const char *password);
 
+#ifdef GIT_SSH
+/**
+ * Creates a new ssh key file and passphrase credential object.
+ * The supplied credential parameter will be internally duplicated.
+ *
+ * @param out The newly created credential object.
+ * @param publickey The path to the public key of the credential.
+ * @param privatekey The path to the private key of the credential.
+ * @param passphrase The passphrase of the credential.
+ * @return 0 for success or an error code for failure
+ */
+GIT_EXTERN(int) git_cred_ssh_keyfile_passphrase_new(
+	git_cred **out,
+	const char *publickey,
+	const char *privatekey,
+    const char *passphrase);
+
+/**
+ * Creates a new ssh public key credential object.
+ * The supplied credential parameter will be internally duplicated.
+ *
+ * @param out The newly created credential object.
+ * @param publickey The bytes of the public key.
+ * @param publickey_len The length of the public key in bytes.
+ * @param sign_callback The callback method for authenticating.
+ * @param sign_data The abstract data sent to the sign_callback method.
+ * @return 0 for success or an error code for failure
+ */
+GIT_EXTERN(int) git_cred_ssh_publickey_new(
+	git_cred **out,
+	const char *publickey,
+    size_t publickey_len,
+    LIBSSH2_USERAUTH_PUBLICKEY_SIGN_FUNC((*sign_callback)),","So yes, `libssh2_userauth_publickey_fromfile` wraps `libssh2_userauth_publickey` but if you have already read and parsed the key, no need to go back to the disk and parse it again.
",84ac625ddd1135755030dfb01b2be965e7cacb2f
4237852,1,"@arrbee's implementation is significantly more elegant. Please use it! :)""",2013-05-15 04:02:23,vmg,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1558#discussion_r4237852,2013-05-15T16:02:23Z,2013-05-15T16:51:46Z,vmg,MEMBER,src/transports/cred.c,,,,,1,"@@ -58,3 +58,131 @@ int git_cred_userpass_plaintext_new(
 	*cred = &c->parent;
 	return 0;
 }
+
+#ifdef GIT_SSH
+static void ssh_keyfile_passphrase_free(struct git_cred *cred)
+{
+	git_cred_ssh_keyfile_passphrase *c = (git_cred_ssh_keyfile_passphrase *)cred;
+	size_t pass_len = strlen(c->passphrase);
+
+    if (c->publickey) {
+        git__free(c->publickey);
+    }
+    
+	git__free(c->privatekey);
+
+    if (c->passphrase) {
+        /* Zero the memory which previously held the passphrase */
+        memset(c->passphrase, 0x0, pass_len);
+        git__free(c->passphrase);
+    }
+
+	memset(c, 0, sizeof(*c));
+
+	git__free(c);
+}
+
+int git_cred_ssh_keyfile_passphrase_new(
+	git_cred **cred,
+	const char *publickey,
+	const char *privatekey,
+	const char *passphrase)
+{
+	git_cred_ssh_keyfile_passphrase *c;
+
+	if (!cred)
+		return -1;
+
+	c = git__malloc(sizeof(git_cred_ssh_keyfile_passphrase));
+	GITERR_CHECK_ALLOC(c);
+
+	c->parent.credtype = GIT_CREDTYPE_SSH_KEYFILE_PASSPHRASE;
+	c->parent.free = ssh_keyfile_passphrase_free;
+    
+    c->privatekey = git__strdup(privatekey);
+    
+	if (!c->privatekey) {
+		git__free(c);
+		return -1;
+	}
+    
+    if (publickey) {
+        c->publickey = git__strdup(publickey);
+
+        if (!c->publickey) {
+            git__free(c->privatekey);
+            git__free(c);
+            return -1;
+        }
+    } else {
+        c->publickey = NULL;
+    }
+    
+    if (passphrase) {
+        c->passphrase = git__strdup(passphrase);
+        
+        if (!c->passphrase) {
+            git__free(c->privatekey);
+            if (c->publickey) {
+                git__free(c->publickey);
+            }
+            git__free(c);
+            return -1;
+        }","@arrbee's implementation is significantly more elegant. Please use it! :)
",84ac625ddd1135755030dfb01b2be965e7cacb2f
3327657,2,"I thought that isolating it here might be better than what I was doing with GIT_STDLIB_CALL in hashsig.c, but I can do better. I'll make a `p_qsort_r` and move the glue shit into there. Sorry!!! """,2013-03-11 12:51:15,arrbee,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1408#discussion_r3327657,2013-03-11T23:51:15Z,2013-03-11T23:51:15Z,arrbee,MEMBER,src/util.c,,626.0,,,20,"@@ -607,3 +607,55 @@ size_t git__unescape(char *str)
 
 	return (pos - str);
 }
+
+#if defined(GIT_WIN32) || defined(BSD)
+typedef struct {
+	git__sort_r_cmp cmp;
+	void *payload;
+} git__qsort_r_glue;
+
+static int GIT_STDLIB_CALL git__qsort_r_glue_cmp(
+	void *payload, const void *a, const void *b)
+{
+	git__qsort_r_glue *glue = payload;
+	return glue->cmp(a, b, glue->payload);
+}
+#endif
+
+void git__qsort_r(
+	void *els, size_t nel, size_t elsize, git__sort_r_cmp cmp, void *payload)","I thought that isolating it here might be better than what I was doing with GIT_STDLIB_CALL in hashsig.c, but I can do better. I'll make a `p_qsort_r` and move the glue shit into there. Sorry!!!
",62beacd300a6d3c62943723928f45ef852485e62
1899246,0,"Well, the eventual goal is to have a full `git_clone` command in the API... But regardless, I'd say this needs to be exported. I'm sure somebody will want to implement some kind of whackass partial clone or the likes.""",2012-10-21 08:43:36,vmg,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/1006#discussion_r1899246,2012-10-21T20:43:36Z,2012-10-22T02:03:43Z,vmg,MEMBER,src/remote.h,,,,,1,"@@ -32,4 +32,6 @@ struct git_remote {
 
 const char* git_remote__urlfordirection(struct git_remote *remote, int direction);
 
+git_remote_head *git_remote_get_head(git_remote *remote);","Well, the eventual goal is to have a full `git_clone` command in the API... But regardless, I'd say this needs to be exported. I'm sure somebody will want to implement some kind of whackass partial clone or the likes.
",c497a63bd6ac0f07b06b18e4891771fdbcd31dd6
1561172,0,"No, git will always put correctness first over optimization. So we will check if the file is binary, even if it means loading the whole thing in memory (but if you _have_ a streaming API, then obviously you should only load the first 4K to make that deter""",2012-09-08 09:23:55,peff,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/916#discussion_r1561172,2012-09-08T21:23:55Z,2012-09-11T19:05:17Z,peff,MEMBER,src/diff_output.c,,,,,1,"@@ -263,18 +275,40 @@ static void setup_xdiff_options(
 
 static int get_blob_content(
 	git_repository *repo,
-	const git_oid *oid,
+	git_diff_file *file,
 	git_map *map,
 	git_blob **blob)
 {
-	if (git_oid_iszero(oid))
+	int error;
+	git_odb *odb;
+	size_t len;
+	git_otype type;
+
+	if (git_oid_iszero(&file->oid))
 		return 0;
 
-	if (git_blob_lookup(blob, repo, oid) < 0)
-		return -1;
+	/* peek at object header to avoid loading if too large */
+	if ((error = git_repository_odb__weakptr(&odb, repo)) < 0 ||
+		(error = git_odb_read_header(&len, &type, odb, &file->oid)) < 0)
+		return error;
+
+	assert(type == GIT_OBJ_BLOB);
+
+	/* if blob is too large to diff, mark as binary */
+	if (len > MAX_DIFF_FILESIZE) {","No, git will always put correctness first over optimization. So we will check if the file is binary, even if it means loading the whole thing in memory (but if you _have_ a streaming API, then obviously you should only load the first 4K to make that determination. And use the `-diff` gitattribute, of course. Git doesn't do the streaming thing now, but it should). The size of the file never impacts the decision on whether it's binary. But once we know it's binary, then we can avoid loading it if we haven't already.

We do a similar thing with filters. We used to fail to run filters for the large-file streaming code paths, but that's wrong. You can't stream in the face of filters (well, you can, but it's tricky), so now we do the correct thing, and avoid the optimization if we have to.

In practice I doubt it comes up much, because large files _are_ going to be binary. So it's important to be optimistic about making sure the optimizations work in the common cases, but fail to slow-but-correct if we have to.
",1f35e89dbf6e0be8952cc4324a45fd600be5ca05
1003891,0,"I've been told that readdir() is """"probably"""" threadsafe, so I'll take my chances with it for now.""",2012-06-18 06:19:13,chris-y,libgit2,libgit2,,https://github.com/libgit2/libgit2/pull/766#discussion_r1003891,2012-06-18T18:19:13Z,2012-06-20T19:36:25Z,chris-y,CONTRIBUTOR,src/posix.h,,,,,1,"@@ -83,6 +83,10 @@
 #	include ""unix/posix.h""
 #endif
 
-#define p_readdir_r(d,e,r) readdir_r(d,e,r)
+#ifndef NO_READDIR_R
+#define p_readdir_r(d,e,r) readdir_r(d,e,&r)
+#else
+#define p_readdir_r(d,e,r) r = readdir(d)","I've been told that readdir() is ""probably"" threadsafe, so I'll take my chances with it for now.
",db5a6ec72b63c986cca764c75f9d3d720cff44ef
