comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
4229126,2,"If we make it static it'll make unit testing it ugly.  I'll have to add unused Resolve overrides to take in min/max Version numbers.  Still want it static?""",2013-05-14 18:20:09,NTaylorMullen,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/2029#discussion_r4229126,2013-05-15T06:20:09Z,2013-05-15T19:04:53Z,NTaylorMullen,CONTRIBUTOR,src/Microsoft.AspNet.SignalR.Core/PersistentConnection.cs,,31.0,,,4,"@@ -28,11 +28,12 @@ public abstract class PersistentConnection
     {
         private const string WebSocketsTransportName = ""webSockets"";
         private static readonly char[] SplitChars = new[] { ':' };
+        private static readonly ProtocolResolver _protocolResolver = new ProtocolResolver();","If we make it static it'll make unit testing it ugly.  I'll have to add unused Resolve overrides to take in min/max Version numbers.

Still want it static?
",56a5e4e5544a12caaedfb01bbcbd4638fece7a55
3930758,1,"I obviously meant this :smile: """,2013-04-23 16:52:49,davidfowl,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/1938#discussion_r3930758,2013-04-24T04:52:49Z,2013-04-24T04:52:49Z,davidfowl,MEMBER,src/Microsoft.AspNet.SignalR.SqlServer/DependencyResolverExtensions.cs,,37.0,,,7,"@@ -34,9 +34,8 @@ public static IDependencyResolver UseSqlServer(this IDependencyResolver resolver
                 throw new ArgumentNullException(""resolver"");
             }
 
-            // TODO: Can this be Lazy<T> initialized again now?
-            var bus = new SqlMessageBus(resolver, configuration);
-            resolver.Register(typeof(IMessageBus), () => bus);
+            var bus = new Lazy<SqlMessageBus>(() => new SqlMessageBus(resolver, configuration));","I obviously meant this :smile: 
",2caa83e41589258c3d9dcf50808a35f751350cfe
3921282,1,"True true :)""",2013-04-23 05:50:16,NTaylorMullen,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/1936#discussion_r3921282,2013-04-23T17:50:16Z,2013-04-23T18:45:36Z,NTaylorMullen,CONTRIBUTOR,src/Microsoft.AspNet.SignalR.ServiceBus/ServiceBusConnection.cs,,65.0,,,43,"@@ -54,33 +58,45 @@ public ServiceBusConnection(ServiceBusScaleoutConfiguration configuration)
                 {
                     try
                     {
+                        _trace.TraceInformation(""Creating a new topic {0} in the service bus..."", topicName);
+
                         _namespaceManager.CreateTopic(topicName);
+
+                        _trace.TraceInformation(""Creation of a new topic {0} in the service bus completed successfully."", topicName);","True true :)
",04bcb093bfeb03a239460713801d3565260b9330
3111953,2,"100% bug, shocked it wasn't caught before""",2013-02-21 19:02:48,NTaylorMullen,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/1558#discussion_r3111953,2013-02-22T06:02:48Z,2013-02-22T22:27:38Z,NTaylorMullen,CONTRIBUTOR,src/Microsoft.AspNet.SignalR.Client.JS/jquery.signalR.transports.common.js,,110.0,,,33,"@@ -87,19 +87,28 @@
         },
 
         addQs: function (url, connection) {
+            var appender = url.indexOf(""?"") !== -1 ? ""&"" : ""?"",
+                firstChar;
+            
             if (!connection.qs) {
                 return url;
             }
 
             if (typeof (connection.qs) === ""object"") {
-                return url + ""&"" + $.param(connection.qs);
+                return url + appender + $.param(connection.qs);
             }
 
             if (typeof (connection.qs) === ""string"") {
-                return url + ""&"" + connection.qs;
+                firstChar = connection.qs.charAt(0);
+
+                if (firstChar === ""?"" || firstChar === ""&"") {
+                    appender = """";
+                }
+
+                return url + appender + connection.qs;","100% bug, shocked it wasn't caught before
",70027b66a0dc5a3cfc4ebdead687b9bf5d9fde55
3021456,0,"Do we need this?""",2013-02-14 11:20:31,halter73,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/1516#discussion_r3021456,2013-02-14T22:20:31Z,2013-02-15T00:44:28Z,halter73,MEMBER,tests/Microsoft.AspNet.SignalR.Client.JS.Tests/Tests/FunctionalTests/Transports/All/HubConnectionFacts.js,,55.0,,,1,"@@ -16,5 +16,52 @@ testUtilities.runWithAllTransports(function (transport) {
         return function () {
             connection.stop();
         };
-    });    
+    });
+
+    QUnit.asyncTimeoutTest(transport + "": connection.id and connection.token have new value after stop and start."", testUtilities.defaultTestTimeout * 2, function (end, assert) {
+        var connection = testUtilities.createHubConnection(),
+            echoHub = connection.createHubProxies().echoHub,
+            run,
+            oldConnectionID,
+            oldConnectionToken;
+
+        run = function (echo, connection) {
+            var deferred = $.Deferred();
+
+            echoHub.client.echo = function (value) {
+                assert.equal(value, echo, ""Successfuly received message "" + echo);
+                deferred.resolve();
+            };
+
+            connection.start({ transport: transport }).done(function () {
+                echoHub.server.echoCallback(echo).done(function () {
+                    assert.ok(true, ""Successfuly called server method"");
+                });
+            }).fail(function (reason) {
+                assert.ok(false, ""Failed to initiate signalr connection"");
+                end();
+            });
+
+            return deferred.promise();
+        };
+
+        run(""hello"", connection).done(function () {
+            oldConnectionID = connection.id;
+            oldConnectionToken = connection.token;
+
+            connection.stop();
+            setTimeout(function () {","Do we need this?
",0bfeaf4cc03c5b6fd549f5327789c71ec23381e2
2086258,0,"What's this?""",2012-11-09 07:11:43,davidfowl,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/929#discussion_r2086258,2012-11-09T18:11:43Z,2012-11-09T18:11:43Z,davidfowl,MEMBER,samples/Microsoft.AspNet.SignalR.Hosting.AspNet.Samples/Scripts/jquery.signalR.js,,1743.0,,,220,"@@ -1678,9 +1739,24 @@
 
             callbacks[callbackId.toString()] = { scope: self, method: callback };
             callbackId += 1;
+
+            if (!$.isPlainObject(self.state)) {","What's this?
",1fb996c991304516ed8e6b6835d5d502aa73dc4c
615728,1,"Now this is beautiful LINQ :smile:""",2012-03-28 03:43:15,davidfowl,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/276#discussion_r615728,2012-03-28T15:43:15Z,2012-03-29T00:42:05Z,davidfowl,MEMBER,SignalR/Hubs/HubDispatcher.cs,,147.0,,,99,"@@ -150,17 +143,11 @@ protected override Task OnDisconnectAsync(string connectionId)
 
         private Task ExecuteHubEventAsync<T>(string connectionId, Func<T, Task> action) where T : class
         {
-            var operations = new List<Task>();
-
-            foreach (Type type in GetHubsImplementingInterface(typeof(T)))
-            {
-                T instance = CreateHub(type, connectionId) as T;
-                if (instance != null)
-                {
-                    // Collect all the asyc operations
-                    operations.Add(action(instance) ?? TaskAsyncHelper.Empty);
-                }
-            }
+            var operations = GetHubsImplementingInterface(typeof(T))","Now this is beautiful LINQ :smile:
",7c4597b6dd877fb6e4f13f54bfc3eb5ef667595d
2541813,0,"I'm pretty sure it's the line endings.""",2013-01-03 07:33:15,halter73,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/1222#discussion_r2541813,2013-01-03T18:33:15Z,2013-01-05T01:16:34Z,halter73,MEMBER,src/Microsoft.AspNet.SignalR.Core/Resources.resx,,,,,1,"@@ -1,168 +1,171 @@
-﻿<?xml version=""1.0"" encoding=""utf-8""?>","I'm pretty sure it's the line endings.
",3b69e77802f3803290a8f5f32d67adea292b9122
4560992,1,"Really... :smile: """,2013-06-05 16:13:31,davidfowl,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/2121#discussion_r4560992,2013-06-06T04:13:31Z,2013-06-06T18:54:49Z,davidfowl,MEMBER,tests/Microsoft.AspNet.SignalR.Tests/CursorFacts.cs,,294.0,,,289,"@@ -156,89 +156,152 @@ public void GetCursorsThrowsGivenDuplicates()
             //    new Cursor(""\u03A3\u03B9\u03B3\u03BD\u03B1\u03BB\u03A1"", 0),
             //    new Cursor(@""\foo|1,4,\|\\\,"", 0),
             //};
-            //var serializedCursors = Cursor.MakeCursor(cursors);
+            //var serializedCursors = Cursor.MakeCursor(cursors, prefix: ""d-"");
 
-            var serializedCursors = @""\\foo\|1\,4\,\\\|\\\\\\\,,A|\\foo\|1\,4\,\\\|\\\\\\\,,0|\\foo\|1\,4\,\\\|\\\\\\\,,FFFFFFFFFFFFFFFF|,0|,0|""
+            var serializedCursors = @""d-\\foo\|1\,4\,\\\|\\\\\\\,,A|\\foo\|1\,4\,\\\|\\\\\\\,,0|\\foo\|1\,4\,\\\|\\\\\\\,,FFFFFFFFFFFFFFFF|,0|,0|""
                                   + @""only non dup,0|,64|ΣιγναλΡ,FFFFFFFFFFFFFFFF|ΣιγναλΡ,FFFFFFFFFFFFFFFF|ΣιγναλΡ,0|\\foo\|1\,4\,\\\|\\\\\\\,,0"";
 
-            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursors));
+            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursors, prefix: ""d-""));
         }
 
         [Theory]
-        [InlineData(@""|"")]
-        [InlineData(@""A|A2|"")]
-        [InlineData(@""||"")]
-        [InlineData(@""||,"")]
-        [InlineData(@""|,|"")]
-        [InlineData(@"",||"")]
-        [InlineData(@"",,|"")]
-        [InlineData(@"",|,"")]
-        [InlineData(@"",,|"")]
-        [InlineData(@""A|"")]
-        [InlineData(@""A||"")]
-        [InlineData(@""A||,"")]
-        [InlineData(@""A|,|"")]
-        [InlineData(@""A,||"")]
-        [InlineData(@""A,,|"")]
-        [InlineData(@""A,|,"")]
-        [InlineData(@""A,,|"")]
-        [InlineData(@""A|A2"")]
-        [InlineData(@""A|A"")]
-        [InlineData(@""A|A2,"")]
-        [InlineData(@""A|A2|"")]
-        [InlineData(@"""")]
-        [InlineData(@"",|,"")]
-        [InlineData(@""test"")]
-        [InlineData(@""test,"")]
-        [InlineData(@""test,A|"")]
-        [InlineData(@""test,A|,"")]
-        [InlineData(@""test,,,,,,,,,,,,"")]
-        [InlineData(@""test,test2,,,,test3,A"")]
-        [InlineData(@""test,test2,test,A"")]
-        [InlineData(@""test,A|"")]
-        [InlineData(@""test,A|random text"")]
-        [InlineData(@""test,A|test,B"")]
-        [InlineData(@"",A|,B"")]
-        [InlineData(@""\test,A"")]
-        public void FuzzedCursors(string serializedCursor)
+        [InlineData(@"""", """")]
+        [InlineData(@"""", ""d-"")]
+        [InlineData(@"""", ""s-"")]
+        [InlineData(@""d-|"", ""d-"")]
+        [InlineData(@""s-|"", ""s-"")]
+        [InlineData(@""d-A|A2|"", ""d-"")]
+        [InlineData(@""s-A|A2|"", ""s-"")]
+        [InlineData(@""d-||"", ""d-"")]
+        [InlineData(@""s-||"", ""s-"")]
+        [InlineData(@""d-||,"", ""d-"")]
+        [InlineData(@""s-||,"", ""s-"")]
+        [InlineData(@""d-|,|"", ""d-"")]
+        [InlineData(@""s-|,|"", ""s-"")]
+        [InlineData(@""d-,||"", ""d-"")]
+        [InlineData(@""s-,||"", ""s-"")]
+        [InlineData(@""d-,,|"", ""d-"")]
+        [InlineData(@""s-,,|"", ""s-"")]
+        [InlineData(@""d-,|,"", ""d-"")]
+        [InlineData(@""s-,|,"", ""s-"")]
+        [InlineData(@""d-,,|"", ""d-"")]
+        [InlineData(@""s-,,|"", ""s-"")]
+        [InlineData(@""d-A|"", ""d-"")]
+        [InlineData(@""s-A|"", ""s-"")]
+        [InlineData(@""d-A||"", ""d-"")]
+        [InlineData(@""s-A||"", ""s-"")]
+        [InlineData(@""d-A||,"", ""d-"")]
+        [InlineData(@""s-A||,"", ""s-"")]
+        [InlineData(@""d-A|,|"", ""d-"")]
+        [InlineData(@""s-A|,|"", ""s-"")]
+        [InlineData(@""d-A,||"", ""d-"")]
+        [InlineData(@""s-A,||"", ""s-"")]
+        [InlineData(@""d-A,,|"", ""d-"")]
+        [InlineData(@""s-A,,|"", ""s-"")]
+        [InlineData(@""d-A,|,"", ""d-"")]
+        [InlineData(@""s-A,|,"", ""s-"")]
+        [InlineData(@""d-A,,|"", ""d-"")]
+        [InlineData(@""s-A,,|"", ""s-"")]
+        [InlineData(@""d-A|A2"", ""d-"")]
+        [InlineData(@""s-A|A2"", ""s-"")]
+        [InlineData(@""d-A|A"", ""d-"")]
+        [InlineData(@""s-A|A"", ""s-"")]
+        [InlineData(@""d-A|A2,"", ""d-"")]
+        [InlineData(@""s-A|A2,"", ""s-"")]
+        [InlineData(@""d-A|A2|"", ""d-"")]
+        [InlineData(@""s-A|A2|"", ""s-"")]
+        [InlineData(@""d-"", ""d-"")]
+        [InlineData(@""s-"", ""s-"")]
+        [InlineData(@""d-,|,"", ""d-"")]
+        [InlineData(@""s-,|,"", ""s-"")]
+        [InlineData(@""d-test"", ""d-"")]
+        [InlineData(@""s-test"", ""s-"")]
+        [InlineData(@""d-test,"", ""d-"")]
+        [InlineData(@""s-test,"", ""s-"")]
+        [InlineData(@""d-test,A|"", ""d-"")]
+        [InlineData(@""s-test,A|"", ""s-"")]
+        [InlineData(@""d-test,A|,"", ""d-"")]
+        [InlineData(@""s-test,A|,"", ""s-"")]
+        [InlineData(@""d-test,,,,,,,,,,,,"", ""d-"")]
+        [InlineData(@""s-test,,,,,,,,,,,,"", ""s-"")]
+        [InlineData(@""d-test,test2,,,,test3,A"", ""d-"")]
+        [InlineData(@""s-test,test2,,,,test3,A"", ""s-"")]
+        [InlineData(@""d-test,test2,test,A"", ""d-"")]
+        [InlineData(@""s-test,test2,test,A"", ""s-"")]
+        [InlineData(@""d-test,A|"", ""d-"")]
+        [InlineData(@""s-test,A|"", ""s-"")]
+        [InlineData(@""d-test,A|random text"", ""d-"")]
+        [InlineData(@""s-test,A|random text"", ""s-"")]
+        [InlineData(@""d-test,A|test,B"", ""d-"")]
+        [InlineData(@""s-test,A|test,B"", ""s-"")]
+        [InlineData(@""d-,A|,B"", ""d-"")]
+        [InlineData(@""s-,A|,B"", ""s-"")]
+        [InlineData(@""d-\test,A"", ""d-"")]
+        [InlineData(@""s-\test,A"", ""s-"")]
+        public void FuzzedCursors(string serializedCursor, string prefix)
         {
-            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursor));
+            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursor, prefix));
         }
 
         [Theory]
-        [InlineData(@""A,|"")]
-        [InlineData(@""A,|,"")]
-        [InlineData(@""test,"")]
-        [InlineData(@""test,A|test2"")]
-        [InlineData(@""test,A|test2,"")]
-        [InlineData(@""test,A|test"")]
-        [InlineData(@""test,A|test,"")]
-        [InlineData(@""test,A|test,|"")]
-        public void CursorsWithoutIds(string serializedCursor)
+        [InlineData(@""d-A,|"", ""d-"")]
+        [InlineData(@""s-A,|"", ""s-"")]
+        [InlineData(@""d-A,|,"", ""d-"")]
+        [InlineData(@""s-A,|,"", ""s-"")]
+        [InlineData(@""d-test,"", ""d-"")]
+        [InlineData(@""s-test,"", ""s-"")]
+        [InlineData(@""d-test,A|test2"", ""d-"")]
+        [InlineData(@""s-test,A|test2"", ""s-"")]
+        [InlineData(@""d-test,A|test2,"", ""d-"")]
+        [InlineData(@""s-test,A|test2,"", ""s-"")]
+        [InlineData(@""d-test,A|test"", ""d-"")]
+        [InlineData(@""s-test,A|test"", ""s-"")]
+        [InlineData(@""d-test,A|test,"", ""d-"")]
+        [InlineData(@""s-test,A|test,"", ""s-"")]
+        [InlineData(@""d-test,A|test,|"", ""d-"")]
+        [InlineData(@""s-test,A|test,|"", ""s-"")]
+        public void CursorsWithoutIds(string serializedCursor, string prefix)
         {
-            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursor));
+            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursor, prefix));
         }
 
         [Theory]
-        [InlineData(@""A,|"")]
-        [InlineData(@""test,\10"")]
-        [InlineData(@""test,G"")]
-        [InlineData(@""test,123ABCQDE"")]
-        [InlineData(@""test,123ABC\u03A3DE"")]
-        [InlineData(@""test,123ABC\,DE"")]
-        [InlineData(@""test,123ABC\\DE"")]
-        [InlineData(@""test,123ABC\|DE"")]
-        [InlineData(@""test,123ABC///////|DE"")]
-        public void CursorWithInvalidCharactersInIds(string serializedCursor)
+        [InlineData(@""d-A,|"", ""d-"")]
+        [InlineData(@""s-A,|"", ""s-"")]
+        [InlineData(@""d-test,\10"", ""d-"")]
+        [InlineData(@""s-test,\10"", ""s-"")]
+        [InlineData(@""d-test,G"", ""d-"")]
+        [InlineData(@""s-test,G"", ""s-"")]
+        [InlineData(@""d-test,123ABCQDE"", ""d-"")]
+        [InlineData(@""s-test,123ABCQDE"", ""s-"")]
+        [InlineData(@""d-test,123ABC\u03A3DE"", ""d-"")]
+        [InlineData(@""s-test,123ABC\u03A3DE"", ""s-"")]
+        [InlineData(@""d-test,123ABC\,DE"", ""d-"")]
+        [InlineData(@""s-test,123ABC\,DE"", ""s-"")]
+        [InlineData(@""d-test,123ABC\\DE"", ""d-"")]
+        [InlineData(@""s-test,123ABC\\DE"", ""s-"")]
+        [InlineData(@""d-test,123ABC\|DE"", ""d-"")]
+        [InlineData(@""s-test,123ABC\|DE"", ""s-"")]
+        [InlineData(@""d-test,123ABC///////|DE"", ""d-"")]
+        [InlineData(@""s-test,123ABC///////|DE"", ""s-"")]
+        public void CursorWithInvalidCharactersInIds(string serializedCursor, string prefix)
         {
-            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursor));
+            Assert.Throws<FormatException>(() => Cursor.GetCursors(serializedCursor, prefix));
         }
 
-        private static unsafe string MakeCursor(IList<Cursor> cursors)
+        [Theory]
+        [InlineData(@""d-A,|"", @""tB\c3\ , ,s0\-"")]
+        [InlineData(@""A[αiu3s FF\0A,"", @""A[αiu3s FF\0A, "")]","Really... :smile: 
",cc833e522b0242d39f3a6dfee818434318831c31
4086465,1,"oh boy, <3 github diffs lol""",2013-05-04 20:17:00,NTaylorMullen,SignalR,SignalR,,https://github.com/SignalR/SignalR/pull/1988#discussion_r4086465,2013-05-05T08:17:00Z,2013-05-05T10:02:07Z,NTaylorMullen,CONTRIBUTOR,src/Microsoft.AspNet.SignalR.Core/Transports/HttpRequestLifeTime.cs,,45.0,,,23,"@@ -38,7 +40,9 @@ public void Complete(Exception error)
         {
             _trace.TraceEvent(TraceEventType.Verbose, 0, ""DrainWrites("" + _connectionId + "")"");
 
-            var context = new LifetimeContext(_lifetimeTcs, error);
+            var context = new LifetimeContext(_transport, _lifetimeTcs, error);
+
+            _transport.ApplyState(TransportConnectionStates.QueueDrained);","oh boy, <3 github diffs lol
",ae5eacd7e12fbed9680e0981d9d20023b63d48ae
