comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
1784028,0,"i can, but the query will still be needed because of getting at_login flags. Or should i add it to CharacterNameData too ?""",2012-10-08 00:17:15,tibbi,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/8001#discussion_r1784028,2012-10-08T12:17:15Z,2012-10-08T18:03:26Z,tibbi,NONE,src/server/game/Handlers/CharacterHandler.cpp,,,,,1,"@@ -1625,11 +1625,23 @@ void WorldSession::HandleCharFactionOrRaceChange(WorldPacket& recv_data)
 
     uint32 lowGuid = GUID_LOPART(guid);
 
-    PreparedStatement* stmt = CharacterDatabase.GetPreparedStatement(CHAR_SEL_CHAR_CLASS_LVL_AT_LOGIN);
+    // get the players old (at this moment current) race
+    PreparedStatement* stmt = CharacterDatabase.GetPreparedStatement(CHAR_SEL_CHAR_RACE);
+    stmt->setUInt32(0, guid);
+    PreparedQueryResult result = CharacterDatabase.Query(stmt);
+    if (!result)
+    {
+        WorldPacket data(SMSG_CHAR_FACTION_CHANGE, 1);
+        data << uint8(CHAR_CREATE_ERROR);
+        SendPacket(&data);
+        return;
+    }
+    Field* fields = result->Fetch();
+    uint8 oldRace = fields[0].GetUInt8();
 
+    stmt = CharacterDatabase.GetPreparedStatement(CHAR_SEL_CHAR_CLASS_LVL_AT_LOGIN);","i can, but the query will still be needed because of getting at_login flags. Or should i add it to CharacterNameData too ?
",05eaf75501a69a4b9561ed245f07a4d0a7871f1d
1447544,0,"Since both methods are called UnSummon, have you considered making it a virtual instead of this casting?""",2012-08-23 06:01:24,Shauren,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/7487#discussion_r1447544,2012-08-23T18:01:24Z,2012-08-25T19:53:08Z,Shauren,MEMBER,src/server/game/Entities/Creature/TemporarySummon.cpp,,,,,1,"@@ -195,7 +196,12 @@ void TempSummon::InitStats(uint32 duration)
             {
                 Creature* oldSummon = GetMap()->GetCreature(owner->m_SummonSlot[slot]);
                 if (oldSummon && oldSummon->isSummon())
-                    oldSummon->ToTempSummon()->UnSummon();
+                {
+                    if (oldSummon->isTotem())
+                        oldSummon->ToTotem()->UnSummon();
+                    else
+                        oldSummon->ToTempSummon()->UnSummon();","Since both methods are called UnSummon, have you considered making it a virtual instead of this casting?
",a3d230479c48da9df6c183e275e39bc635749f3b
761358,2,"Oh sorry -.- my fail""",2012-05-02 00:25:41,Chipsi,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/6419#discussion_r761358,2012-05-02T12:25:41Z,2012-05-03T02:47:59Z,FilipLukac,NONE,src/server/scripts/Kalimdor/azuremyst_isle.cpp,,434.0,,,186,"@@ -433,7 +437,7 @@ enum eGeezle
     GO_NAGA_FLAG    = 181694
 };
 
-static float SparkPos[3] = {-5029.91f, -11291.79f, 8.096f};
+Position const SparkPos = {-5029.91f, -11291.79f, 8.096f, 0.0f};","Oh sorry -.- my fail
",2d9cd9ede0924f91dacff61c69df333fb5e937fd
417266,2,"What are you saying? :|""",2012-02-04 23:47:23,devilcoredev,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/5052#discussion_r417266,2012-02-05T10:47:23Z,2012-02-05T10:47:23Z,devilcoredev,CONTRIBUTOR,src/server/game/Spells/Spell.cpp,,4773.0,,,5,"@@ -4769,6 +4769,16 @@ SpellCastResult Spell::CheckCast(bool strict)
         }
     }
 
+    //Check for line of sight for spells with dest
+    if (m_targets.HasDst())","What are you saying? :|
",16300d091464f2202f3f029f0a18f0ed23d915d3
166645,0,"It shall heal up to 3 group members for a total of 25% of the damage done, not for 25% each. The total heal is split among the nearby group members, this is correct. Its not a hack eigher because its in the right place to handle dummy effects.""",2011-10-12 02:49:06,Havenard,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/3478#discussion_r166645,2011-10-12T14:49:06Z,2011-10-12T16:43:13Z,Havenard,CONTRIBUTOR,src/server/game/Spells/SpellEffects.cpp,,1132.0,,,10,"@@ -1125,9 +1125,13 @@ void Spell::EffectDummy(SpellEffIndex effIndex)
                         return;
                     m_caster->CastCustomSpell(unitTarget, 52752, &damage, NULL, NULL, true);
                     return;
-                case 54171:                                   //Divine Storm
+                case 54171:                                 // Divine Storm
                 {
-                    m_caster->CastCustomSpell(unitTarget, 54172, &damage, 0, 0, true);
+                    if (m_UniqueTargetInfo.size())
+                    {
+                        int32 heal = damage / m_UniqueTargetInfo.size();","It shall heal up to 3 group members for a total of 25% of the damage done, not for 25% each. The total heal is split among the nearby group members, this is correct. Its not a hack eigher because its in the right place to handle dummy effects.
",0e274bdcb7bda6e889ef7ce2749e2bfd5b773fe0
1596254,0,"I see you worked on strings, but you could cut down on the number of required strings if you made them """"Godmode: %s"""" and 2 strings """"Enabled"""" and """"Disabled""""""",2012-09-12 22:59:50,Shauren,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/7721#discussion_r1596254,2012-09-13T10:59:50Z,2012-09-13T10:59:50Z,Shauren,MEMBER,sql/updates/world/2012_09_11_01_world_trinity_string.sql,,4.0,,,4,"@@ -0,0 +1,13 @@
+DELETE FROM `trinity_string` WHERE entry in(357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367);
+INSERT INTO `trinity_string` (`entry`, `content_default`) VALUES
+(357, 'Cheat Command Status:'),
+(358, 'Godmode: Enabled.'),","I see you worked on strings, but you could cut down on the number of required strings if you made them ""Godmode: %s"" and 2 strings ""Enabled"" and ""Disabled""
",193001000609108f8f87e2fdcc562e7f97f277ef
743999,2,"Ugh. Betting it's not blizzlike.""",2012-04-26 23:30:23,Warpten,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/6362#discussion_r743999,2012-04-27T11:30:23Z,2012-04-27T11:30:23Z,Warpten,CONTRIBUTOR,src/server/scripts/Northrend/IcecrownCitadel/boss_deathbringer_saurfang.cpp,,825.0,,,60,"@@ -790,6 +787,59 @@ class npc_high_overlord_saurfang_icc : public CreatureScript
         }
 };
 
+class npc_blood_beast : public CreatureScript
+{
+    public:
+        npc_blood_beast() : CreatureScript(""npc_blood_beast"") { }
+
+        struct npc_blood_beastAI : public ScriptedAI
+        {
+            npc_blood_beastAI(Creature* creature) : ScriptedAI(creature)
+            {
+                _instance = me->GetInstanceScript();
+            }
+
+            void Reset()
+            {
+                _events.Reset();
+                _events.ScheduleEvent(EVENT_SCENT_OF_BLOOD, 5000);
+            }
+
+            void EnterCombat(Unit* who)
+            {
+                _events.ScheduleEvent(EVENT_SCENT_OF_BLOOD, 5000);
+
+                DoCast(me, SPELL_BLOOD_LINK_BEAST, true);
+                DoCast(me, SPELL_RESISTANT_SKIN, true);
+            }
+
+            void UpdateAI(const uint32 diff)
+            {
+                _events.Update(diff);
+
+                if (IsHeroic())
+                {
+                    if (_events.ExecuteEvent() == EVENT_SCENT_OF_BLOOD)
+                    {
+                        DoCast(me, SPELL_SCENT_OF_BLOOD);
+                        DoAddAuraToAllHostilePlayers(SPELL_SCENT_OF_BLOOD);","Ugh. Betting it's not blizzlike.
",f0237a16eb0768d68e8fe5b475584e0cf5d4df07
575129,2,"Because this is something utterly boring and tiring to work on ?...""",2012-03-19 05:50:38,Warpten,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/5784#discussion_r575129,2012-03-19T16:50:38Z,2012-03-20T16:51:57Z,Warpten,CONTRIBUTOR,src/server/game/Battlefield/Battlefield.cpp,,,,,1,"@@ -407,14 +402,14 @@ void Battlefield::TeamCastSpell(TeamId team, int32 spellId)
     if (spellId > 0)
         for (GuidSet::const_iterator itr = m_PlayersInWar[team].begin(); itr != m_PlayersInWar[team].end(); ++itr)
             if (Player* player = sObjectAccessor->FindPlayer(*itr))
-                player->CastSpell(player, (uint32) spellId, true);
+                player->CastSpell(player, int32(spellId), true);","Because this is something utterly boring and tiring to work on ?...
",fd21a0d9cea212af772c8552edadc214e1460f2c
1190006,2,"why do you use uint32 in a for loop, when the counter can only be 10? this is senseless, isn't it?""",2012-07-18 05:36:45,boomy,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/4831#discussion_r1190006,2012-07-18T17:36:45Z,2012-07-18T17:36:45Z,marvin-w,NONE,src/server/game/Entities/Unit/Unit.cpp,,1573.0,,,1,"@@ -1467,74 +1467,132 @@ uint32 Unit::CalcArmorReducedDamage(Unit* victim, const uint32 damage, SpellInfo
     return (newdamage > 1) ? newdamage : 1;
 }
 
-void Unit::CalcAbsorbResist(Unit* victim, SpellSchoolMask schoolMask, DamageEffectType damagetype, uint32 const damage, uint32 *absorb, uint32 *resist, SpellInfo const* spellInfo)
+uint32 Unit::GetSpellPenetration(SpellSchoolMask schoolMask) const
 {
-    if (!victim || !victim->isAlive() || !damage)
-        return;
+    int32 spellPenetration = 0;
 
-    DamageInfo dmgInfo = DamageInfo(this, victim, damage, spellInfo, schoolMask, damagetype);
+    const Unit * source = ToPlayer();
 
-    // Magic damage, check for resists
-    if ((schoolMask & SPELL_SCHOOL_MASK_NORMAL) == 0)
+    if (!source)
     {
-        float victimResistance = float(victim->GetResistance(schoolMask));
-        victimResistance += float(GetTotalAuraModifierByMiscMask(SPELL_AURA_MOD_TARGET_RESISTANCE, schoolMask));
+        source = ToCreature();
 
-        if (Player* player = ToPlayer())
-            victimResistance -= float(player->GetSpellPenetrationItemMod());
+        if (source)
+        {
+            source = source->ToCreature()->GetOwner();
+            if (source)
+                source = source->ToPlayer();
+        }
+    }
+    
+    if (source && !isTotem())
+        spellPenetration += source->ToPlayer()->GetSpellPenetrationItemMod();
+    else
+        source = this;
 
-        // Resistance can't be lower then 0.
-        if (victimResistance < 0.0f)
-            victimResistance = 0.0f;
+    spellPenetration += -source->GetTotalAuraModifierByMiscMask(SPELL_AURA_MOD_TARGET_RESISTANCE, schoolMask);
 
-        static uint32 const BOSS_LEVEL = 83;
-        static float const BOSS_RESISTANCE_CONSTANT = 510.0f;
-        uint32 level = victim->getLevel();
-        float resistanceConstant = 0.0f;
+    return uint32(std::max<int32>(spellPenetration, 0));
+}
 
-        if (level == BOSS_LEVEL)
-            resistanceConstant = BOSS_RESISTANCE_CONSTANT;
-        else
-            resistanceConstant = level * 5.0f;
+uint32 Unit::CalcSpellResistance(Unit * victim, SpellSchoolMask schoolMask, bool binary, SpellInfo const * spellProto) const
+{
+    // Magic damage, check for resists
+    if (uint32(schoolMask & (SPELL_SCHOOL_MASK_NORMAL | SPELL_SCHOOL_HOLY)) > 0)
+        return 0;
 
-        float averageResist = victimResistance / (victimResistance + resistanceConstant);
-        float discreteResistProbability[11];
-        for (uint32 i = 0; i < 11; ++i)
-        {
-            discreteResistProbability[i] = 0.5f - 2.5f * fabs(0.1f * i - averageResist);
-            if (discreteResistProbability[i] < 0.0f)
-                discreteResistProbability[i] = 0.0f;
-        }
+    // These spells should ignore any resistances
+    if (spellProto && spellProto->AttributesEx3 & SPELL_ATTR3_IGNORE_HIT_RESULT)
+        return 0;
 
-        if (averageResist <= 0.1f)
-        {
-            discreteResistProbability[0] = 1.0f - 7.5f * averageResist;
-            discreteResistProbability[1] = 5.0f * averageResist;
-            discreteResistProbability[2] = 2.5f * averageResist;
-        }
+    uint8 BOSS_LEVEL = 83;
+    int32 BOSS_RESISTANCE_CONSTANT = 510;
+    int32 resistanceConstant = 0;
 
-        float r = float(rand_norm());
-        uint32 i = 0;
-        float probabilitySum = discreteResistProbability[0];
+    if (getLevel() >= BOSS_LEVEL)
+        resistanceConstant = BOSS_RESISTANCE_CONSTANT;
+    else
+        resistanceConstant = getLevel() * 5;
 
-        while (r >= probabilitySum && i < 10)
-            probabilitySum += discreteResistProbability[++i];
+    int32 levelDiff = std::max<int32>(victim->getLevel() - getLevel(), 0);   
+    int32 baseVictimResistance = victim->GetResistance(GetFirstSchoolInMask(schoolMask));
+    uint32 spellPenetration = GetSpellPenetration(schoolMask);
+    int32 victimResistance = std::max<int32>(baseVictimResistance - spellPenetration, 0);
+    int32 ignoredResistance = 0;
 
-        float damageResisted = float(damage * i / 10);
+    if (victimResistance > 0)
+    {
+        AuraEffectList const & aurasA = GetAuraEffectsByType(SPELL_AURA_MOD_ABILITY_IGNORE_TARGET_RESIST);
+        for (AuraEffectList::const_iterator itr = aurasA.begin(); itr != aurasA.end(); ++itr)
+            if (((*itr)->GetMiscValue() & schoolMask) && (*itr)->IsAffectedOnSpell(spellProto))   
+                ignoredResistance += (*itr)->GetAmount();
+
+        AuraEffectList const & aurasB = GetAuraEffectsByType(SPELL_AURA_MOD_IGNORE_TARGET_RESIST);
+        for (AuraEffectList::const_iterator itr = aurasB.begin(); itr != aurasB.end(); ++itr)
+            if ((*itr)->GetMiscValue() & schoolMask)
+                ignoredResistance += (*itr)->GetAmount();
+
+        ignoredResistance = std::min<int32>(ignoredResistance, 100);
+    }
+
+    victimResistance = victimResistance * (100 - ignoredResistance) / 100;   
+    victimResistance += (levelDiff * 5); // Level diff resistance cannot be pierced
 
-        AuraEffectList const& ResIgnoreAurasAb = GetAuraEffectsByType(SPELL_AURA_MOD_ABILITY_IGNORE_TARGET_RESIST);
-        for (AuraEffectList::const_iterator j = ResIgnoreAurasAb.begin(); j != ResIgnoreAurasAb.end(); ++j)
-            if (((*j)->GetMiscValue() & schoolMask) && (*j)->IsAffectedOnSpell(spellInfo))
-                AddPctN(damageResisted, -(*j)->GetAmount());
+    if (victimResistance <= 0)
+        return 0;
 
-        AuraEffectList const& ResIgnoreAuras = GetAuraEffectsByType(SPELL_AURA_MOD_IGNORE_TARGET_RESIST);
-        for (AuraEffectList::const_iterator j = ResIgnoreAuras.begin(); j != ResIgnoreAuras.end(); ++j)
-            if ((*j)->GetMiscValue() & schoolMask)
-                AddPctN(damageResisted, -(*j)->GetAmount());
+    float averageResist = float(victimResistance) / float(victimResistance + resistanceConstant);
 
-        dmgInfo.ResistDamage(uint32(damageResisted));
+    if (spellProto->AttributesCu & SPELL_ATTR0_CU_BINARY)
+    {
+        int32 tmp = int32(averageResist * 10000);
+        int32 rand = irand(0, 10000);
+        return rand < tmp ? 100 : 0;
     }
 
+    float discreteResistProbability[11];
+
+    for (uint32 i = 0; i < 11; i++)
+    {
+        discreteResistProbability[i] = 0.5f - 2.5f * fabs(0.1f * i - averageResist);
+        if (discreteResistProbability[i] < 0.0f)
+            discreteResistProbability[i] = 0.0f;
+    }
+
+    if (averageResist <= 0.1f)
+    {
+        discreteResistProbability[0] = 1.0f - 7.5f * averageResist;
+        discreteResistProbability[1] = 5.0f * averageResist;
+        discreteResistProbability[2] = 2.5f * averageResist;
+    }
+
+    uint32 resistance = 0;
+    float r = float(rand_norm());
+    float probabilitySum = discreteResistProbability[0];
+
+    while ((r >= probabilitySum) && (resistance < 10))","why do you use uint32 in a for loop, when the counter can only be 10? this is senseless, isn't it?
",b546425c3443d453145fb5a31325472d88573d0e
1198500,0,"and u prefer what and why? """,2012-07-19 04:29:30,Faq,TrinityCore,TrinityCore,,https://github.com/TrinityCore/TrinityCore/pull/4831#discussion_r1198500,2012-07-19T16:29:30Z,2012-07-19T16:29:30Z,Faq,CONTRIBUTOR,src/server/game/Entities/Unit/Unit.cpp,,1573.0,,,1,"@@ -1467,74 +1467,132 @@ uint32 Unit::CalcArmorReducedDamage(Unit* victim, const uint32 damage, SpellInfo
     return (newdamage > 1) ? newdamage : 1;
 }
 
-void Unit::CalcAbsorbResist(Unit* victim, SpellSchoolMask schoolMask, DamageEffectType damagetype, uint32 const damage, uint32 *absorb, uint32 *resist, SpellInfo const* spellInfo)
+uint32 Unit::GetSpellPenetration(SpellSchoolMask schoolMask) const
 {
-    if (!victim || !victim->isAlive() || !damage)
-        return;
+    int32 spellPenetration = 0;
 
-    DamageInfo dmgInfo = DamageInfo(this, victim, damage, spellInfo, schoolMask, damagetype);
+    const Unit * source = ToPlayer();
 
-    // Magic damage, check for resists
-    if ((schoolMask & SPELL_SCHOOL_MASK_NORMAL) == 0)
+    if (!source)
     {
-        float victimResistance = float(victim->GetResistance(schoolMask));
-        victimResistance += float(GetTotalAuraModifierByMiscMask(SPELL_AURA_MOD_TARGET_RESISTANCE, schoolMask));
+        source = ToCreature();
 
-        if (Player* player = ToPlayer())
-            victimResistance -= float(player->GetSpellPenetrationItemMod());
+        if (source)
+        {
+            source = source->ToCreature()->GetOwner();
+            if (source)
+                source = source->ToPlayer();
+        }
+    }
+    
+    if (source && !isTotem())
+        spellPenetration += source->ToPlayer()->GetSpellPenetrationItemMod();
+    else
+        source = this;
 
-        // Resistance can't be lower then 0.
-        if (victimResistance < 0.0f)
-            victimResistance = 0.0f;
+    spellPenetration += -source->GetTotalAuraModifierByMiscMask(SPELL_AURA_MOD_TARGET_RESISTANCE, schoolMask);
 
-        static uint32 const BOSS_LEVEL = 83;
-        static float const BOSS_RESISTANCE_CONSTANT = 510.0f;
-        uint32 level = victim->getLevel();
-        float resistanceConstant = 0.0f;
+    return uint32(std::max<int32>(spellPenetration, 0));
+}
 
-        if (level == BOSS_LEVEL)
-            resistanceConstant = BOSS_RESISTANCE_CONSTANT;
-        else
-            resistanceConstant = level * 5.0f;
+uint32 Unit::CalcSpellResistance(Unit * victim, SpellSchoolMask schoolMask, bool binary, SpellInfo const * spellProto) const
+{
+    // Magic damage, check for resists
+    if (uint32(schoolMask & (SPELL_SCHOOL_MASK_NORMAL | SPELL_SCHOOL_HOLY)) > 0)
+        return 0;
 
-        float averageResist = victimResistance / (victimResistance + resistanceConstant);
-        float discreteResistProbability[11];
-        for (uint32 i = 0; i < 11; ++i)
-        {
-            discreteResistProbability[i] = 0.5f - 2.5f * fabs(0.1f * i - averageResist);
-            if (discreteResistProbability[i] < 0.0f)
-                discreteResistProbability[i] = 0.0f;
-        }
+    // These spells should ignore any resistances
+    if (spellProto && spellProto->AttributesEx3 & SPELL_ATTR3_IGNORE_HIT_RESULT)
+        return 0;
 
-        if (averageResist <= 0.1f)
-        {
-            discreteResistProbability[0] = 1.0f - 7.5f * averageResist;
-            discreteResistProbability[1] = 5.0f * averageResist;
-            discreteResistProbability[2] = 2.5f * averageResist;
-        }
+    uint8 BOSS_LEVEL = 83;
+    int32 BOSS_RESISTANCE_CONSTANT = 510;
+    int32 resistanceConstant = 0;
 
-        float r = float(rand_norm());
-        uint32 i = 0;
-        float probabilitySum = discreteResistProbability[0];
+    if (getLevel() >= BOSS_LEVEL)
+        resistanceConstant = BOSS_RESISTANCE_CONSTANT;
+    else
+        resistanceConstant = getLevel() * 5;
 
-        while (r >= probabilitySum && i < 10)
-            probabilitySum += discreteResistProbability[++i];
+    int32 levelDiff = std::max<int32>(victim->getLevel() - getLevel(), 0);   
+    int32 baseVictimResistance = victim->GetResistance(GetFirstSchoolInMask(schoolMask));
+    uint32 spellPenetration = GetSpellPenetration(schoolMask);
+    int32 victimResistance = std::max<int32>(baseVictimResistance - spellPenetration, 0);
+    int32 ignoredResistance = 0;
 
-        float damageResisted = float(damage * i / 10);
+    if (victimResistance > 0)
+    {
+        AuraEffectList const & aurasA = GetAuraEffectsByType(SPELL_AURA_MOD_ABILITY_IGNORE_TARGET_RESIST);
+        for (AuraEffectList::const_iterator itr = aurasA.begin(); itr != aurasA.end(); ++itr)
+            if (((*itr)->GetMiscValue() & schoolMask) && (*itr)->IsAffectedOnSpell(spellProto))   
+                ignoredResistance += (*itr)->GetAmount();
+
+        AuraEffectList const & aurasB = GetAuraEffectsByType(SPELL_AURA_MOD_IGNORE_TARGET_RESIST);
+        for (AuraEffectList::const_iterator itr = aurasB.begin(); itr != aurasB.end(); ++itr)
+            if ((*itr)->GetMiscValue() & schoolMask)
+                ignoredResistance += (*itr)->GetAmount();
+
+        ignoredResistance = std::min<int32>(ignoredResistance, 100);
+    }
+
+    victimResistance = victimResistance * (100 - ignoredResistance) / 100;   
+    victimResistance += (levelDiff * 5); // Level diff resistance cannot be pierced
 
-        AuraEffectList const& ResIgnoreAurasAb = GetAuraEffectsByType(SPELL_AURA_MOD_ABILITY_IGNORE_TARGET_RESIST);
-        for (AuraEffectList::const_iterator j = ResIgnoreAurasAb.begin(); j != ResIgnoreAurasAb.end(); ++j)
-            if (((*j)->GetMiscValue() & schoolMask) && (*j)->IsAffectedOnSpell(spellInfo))
-                AddPctN(damageResisted, -(*j)->GetAmount());
+    if (victimResistance <= 0)
+        return 0;
 
-        AuraEffectList const& ResIgnoreAuras = GetAuraEffectsByType(SPELL_AURA_MOD_IGNORE_TARGET_RESIST);
-        for (AuraEffectList::const_iterator j = ResIgnoreAuras.begin(); j != ResIgnoreAuras.end(); ++j)
-            if ((*j)->GetMiscValue() & schoolMask)
-                AddPctN(damageResisted, -(*j)->GetAmount());
+    float averageResist = float(victimResistance) / float(victimResistance + resistanceConstant);
 
-        dmgInfo.ResistDamage(uint32(damageResisted));
+    if (spellProto->AttributesCu & SPELL_ATTR0_CU_BINARY)
+    {
+        int32 tmp = int32(averageResist * 10000);
+        int32 rand = irand(0, 10000);
+        return rand < tmp ? 100 : 0;
     }
 
+    float discreteResistProbability[11];
+
+    for (uint32 i = 0; i < 11; i++)
+    {
+        discreteResistProbability[i] = 0.5f - 2.5f * fabs(0.1f * i - averageResist);
+        if (discreteResistProbability[i] < 0.0f)
+            discreteResistProbability[i] = 0.0f;
+    }
+
+    if (averageResist <= 0.1f)
+    {
+        discreteResistProbability[0] = 1.0f - 7.5f * averageResist;
+        discreteResistProbability[1] = 5.0f * averageResist;
+        discreteResistProbability[2] = 2.5f * averageResist;
+    }
+
+    uint32 resistance = 0;
+    float r = float(rand_norm());
+    float probabilitySum = discreteResistProbability[0];
+
+    while ((r >= probabilitySum) && (resistance < 10))","and u prefer what and why? 
",b546425c3443d453145fb5a31325472d88573d0e
