comment_id,polarity,text,created_at_gold,author_login,owner,repo,review_id,html_url,created_at_kaiaulu,updated_at,comment_user_login,author_association,file_path,start_line,line,original_start_line,original_line,position,diff_hunk,body,commit_id
824126,0,"You should replace 255 for $maxLen""",2012-05-15 03:15:06,Maks3w,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/1226#discussion_r824126,2012-05-15T15:15:06Z,2012-05-23T16:24:28Z,Maks3w,MEMBER,library/Zend/Service/Amazon/S3/S3.php,,,,,1,"@@ -109,24 +109,96 @@ public function __construct($accessKey=null, $secretKey=null, $region=null)
 
     /**
      * Verify if the bucket name is valid
+     * For reference: http://docs.amazonwebservices.com/AmazonS3/latest/dev/BucketRestrictions.html
      *
      * @param string $bucket
      * @return boolean
      */
-    public function _validBucketName($bucket)
+    public function _validBucketName($bucket, $location = null)
     {
+        if (empty($location))
+            $location = ''; //US Standard region code is an empty string 
+        
+        if ($location == '') {
+            //US Standard Region
+            $maxLen = 255;
+            
+            //Capital letters, dashes and underscores allowed
+            $pregExpression = '/[^a-zA-Z0-9\._-]/';
+            
+            //Label can be an IP address
+            $isIpAddress = false;
+            
+            //Label can be empty or starting with dashes
+            $labelError = false;
+            
+        } else {
+            //More restricted rules apply
+            $maxLen = 63;
+            
+            //No Capital letters or underscores
+            $pregExpression = '/[^a-z0-9\.-]/';
+            
+            //Cannot be an IP address
+            $isIpAddress = preg_match('/(\d){1,3}\.(\d){1,3}\.(\d){1,3}\.(\d){1,3}/', $bucket);
+            
+            //Labels must not be empty and should start and end with letter or number
+            $labelError = false; 
+            $labels     = explode('.', $bucket);           
+            foreach ($labels as $label) {
+                if (empty($label)) {
+                    $labelError = true; 
+                    break;
+                }
+                
+                if ($label[0] == '-' || $label[strlen($label)-1] == '-') {
+                    $labelError = true;
+                    break;
+                }
+            }
+        }
+        
+        /*
+         * 
+         * certain US General limits can be accepted only with SOAP API calls
+         * @TODO implement soap api calls  
+         * 
+         */
+        if ($location == '' ) { //To be removed if SOAP API calls are implemented
+            $pregExpression = '/[^a-z0-9\.-]/';
+    
+            //Labels must not be empty and should start and end with letter or number
+            $labelError = false;
+            $labels     = explode('.', $bucket);
+            foreach ($labels as $label) {
+                if (empty($label)) {
+                    $labelError = true;
+                    break;
+                }
+            
+                if ($label[0] == '-' || $label[strlen($label)-1] == '-') {
+                    $labelError = true;
+                    break;
+                }
+            }
+        }        
+        
         $len = strlen($bucket);
-        if ($len < 3 || $len > 255) {
+        if ($len < 3 || $len > $maxLen) {
             throw new Exception\InvalidArgumentException(""Bucket name \""$bucket\"" must be between 3 and 255 characters long"");","You should replace 255 for $maxLen
",80402b06dbe3ac01bb4a78592d21e859baeb2808
784044,2,"This actually makes the code harder to read. The previous line fit within the 120 character limit.  If it _did_ break the 120 character limit, the better change would be:  ``` foreach ($this->_rules['allResources']['byRoleId'] as     $roleIdCurent =""",2012-05-07 08:29:15,weierophinney,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/1118#discussion_r784044,2012-05-07T20:29:15Z,2012-05-07T20:29:15Z,weierophinney,MEMBER,library/Zend/Acl/Acl.php,,220.0,,,75,"@@ -209,16 +216,23 @@ public function removeRole($role)
             $roleId = $role;
         }
 
-        foreach ($this->_rules['allResources']['byRoleId'] as $roleIdCurrent => $rules) {
+        foreach ($this->_rules['allResources']['byRoleId'] 
+            as $roleIdCurrent => $rules) {","This actually makes the code harder to read. The previous line fit within the 120 character limit.

If it _did_ break the 120 character limit, the better change would be:

```
foreach ($this->_rules['allResources']['byRoleId'] as
    $roleIdCurent => $rules
) {
    ...
}
```

This is more consistent with other rules - like putting implements on the following line, or, in the case of long parameter lists or conditions, putting the closing paren and opening brace on a line by themselves.
",b7f2c9f3424def7207ca2c4853d12324c378871a
783868,0,"false actually has a special meaning internally, and should not be removed from the signature.""",2012-05-07 08:06:49,weierophinney,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/1108#discussion_r783868,2012-05-07T20:06:49Z,2012-05-07T20:06:49Z,weierophinney,MEMBER,library/Zend/EventManager/EventManager.php,,62.0,,,13,"@@ -59,7 +59,7 @@ class EventManager implements EventCollection, SharedEventCollectionAware
 
     /**
      * Shared connections
-     * @var false|null|SharedEventCollection","false actually has a special meaning internally, and should not be removed from the signature.
",261f39819d09f9d433ba8b7dff7a54503814eca5
722631,0,"break the array values in multiple lines.  You can see the coding style here http://framework.zend.com/wiki/display/ZFDEV2/Coding+Standards""",2012-04-23 07:55:39,Maks3w,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/1097#discussion_r722631,2012-04-23T19:55:39Z,2012-04-30T16:24:18Z,Maks3w,MEMBER,tests/Zend/Service/Twitter/SearchTest.php,,,,,1,"@@ -116,29 +193,26 @@ public function testAtomSearchRestrictsLanguageReturnsObject()
 
         $this->twitter->setResponseType('atom');
         $response = $this->twitter->execute('zend', array('lang' => 'de'));
-
         $this->assertInstanceOf('Zend\Feed\Reader\Feed\Atom', $response);
-        var_dump($response);
         $this->assertTrue((strpos($response->link('self'), 'lang=de') !== false));
-
     }
 
-    public function testJsonSearchReturnThirtyResultsReturnsArray()
+    public function testJsonSearchReturnTwentyResultsReturnsArray()
     {
         $this->twitter->setResponseType('json');
-        $response = $this->twitter->execute('zend', array('rpp' => '30'));
+        $response = $this->twitter->execute('php', array('rpp' => '20','lang'=>'en','result_type'=>'recent','include_entities'=>false));","break the array values in multiple lines.

You can see the coding style here http://framework.zend.com/wiki/display/ZFDEV2/Coding+Standards
",c757198eedb7bb041cb530bab6022e2168a85dff
493240,0,"We still need to inject the locator, once we know we have a valid controller.""",2012-02-27 11:04:46,weierophinney,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/788#discussion_r493240,2012-02-27T22:04:46Z,2012-02-27T22:04:46Z,weierophinney,MEMBER,library/Zend/Mvc/Application.php,,346.0,,,33,"@@ -342,17 +351,14 @@ public function dispatch(MvcEvent $e)
             }
             goto complete;
         }
-
-        if ($controller instanceof LocatorAware) {","We still need to inject the locator, once we know we have a valid controller.
",b5eed6bbd486b2d056f792d3f30229c6048428e4
489103,0,"@akrabat Oh, I see you point, I for some reason though the dsn was all encompassing including stuff like username and password.  I'll fix these pronto.""",2012-02-25 13:16:55,ralphschindler,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/819#discussion_r489103,2012-02-26T00:16:55Z,2012-03-02T19:00:39Z,ralphschindler,MEMBER,library/Zend/Db/Adapter/Driver/Pdo/Connection.php,,,,,1,"@@ -0,0 +1,280 @@
+<?php
+
+namespace Zend\Db\Adapter\Driver\Pdo;
+
+use Zend\Db\Adapter\Driver\ConnectionInterface,
+    Zend\Db\Adapter\Driver\DriverInterface,
+    Zend\Db\Adapter\Exception\InvalidQueryException;
+
+
+class Connection implements ConnectionInterface
+{
+    /**
+     * @var Pdo
+     */
+    protected $driver = null;
+
+    /**
+     * @var array
+     */
+    protected $connectionParameters = array();
+    
+    /**
+     * @var \PDO
+     */
+    protected $resource = null;
+
+    /**
+     * @var bool
+     */
+    protected $inTransaction = false;
+
+    /**
+     * @param array|\PDO $connectionInfo
+     */
+    public function __construct($connectionInfo = null)
+    {
+        if (is_array($connectionInfo)) {
+            $this->setConnectionParameters($connectionInfo);
+        } elseif ($connectionInfo instanceof \PDO) {
+            $this->setResource($connectionInfo);
+        }
+    }
+
+    /**
+     * @param Pdo $driver
+     * @return Connection
+     */
+    public function setDriver(Pdo $driver)
+    {
+        $this->driver = $driver;
+        return $this;
+    }
+
+    /**
+     * @param array $connectionParameters
+     */
+    public function setConnectionParameters(array $connectionParameters)
+    {
+        $this->connectionParameters = $connectionParameters;
+    }
+
+    /**
+     * @return array
+     */
+    public function getConnectionParameters()
+    {
+        return $this->connectionParameters;
+    }
+
+    /**
+     * @return null
+     */
+    public function getDefaultCatalog()
+    {
+        return null;
+    }
+
+    /**
+     * @return mixed
+     */
+    public function getDefaultSchema()
+    {
+        if (!$this->isConnected()) {
+            $this->connect();
+        }
+
+        /** @var $result \PDOStatement */
+        $result = $this->resource->query('SELECT DATABASE()');
+        $r = $result->fetch_row();
+        return $r[0];
+    }
+
+    public function setResource(\PDO $resource)
+    {
+        $this->resource = $resource;
+        return $this;
+    }
+
+    /**
+     * @return \PDO
+     */
+    public function getResource()
+    {
+        if ($this->resource == null) {
+            $this->connect();
+        }
+        return $this->resource;
+    }
+
+    /**
+     * @return Connection
+     * @throws \Exception
+     */
+    public function connect()
+    {
+        if ($this->resource) {
+            return $this;
+        }
+
+        // @todo method createKnownDsn
+
+        $dsn = $username = $password = $database = null;
+        $options = array();
+        foreach ($this->connectionParameters as $key => $value) {
+            switch (strtolower($key)) {
+                case 'dsn':
+                    $dsn = $value;
+                    break 2;","@akrabat Oh, I see you point, I for some reason though the dsn was all encompassing including stuff like username and password.  I'll fix these pronto.
",d028cbaf710f22c7f5210301caaa2daafc476bcd
622310,0,"I'd actually argue here we import MessageDescription, and change the signature of dispatch to: ```php public function dispatch(Message $request, Message $response = null); ```""",2012-03-29 05:57:51,weierophinney,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/963#discussion_r622310,2012-03-29T17:57:51Z,2012-03-29T17:57:51Z,weierophinney,MEMBER,documentation/manual/en/module_specs/Zend_Mvc-Controllers.xml,,17.0,,,5,"@@ -13,8 +13,8 @@
 
   <programlisting language=""php""><![CDATA[
 use Zend\Stdlib\Dispatchable,
-    Zend\Stdlib\RequestDescription as Request,
-    Zend\Stdlib\ResponseDescription as Response;","I'd actually argue here we import MessageDescription, and change the signature of dispatch to:

``` php
public function dispatch(Message $request, Message $response = null);
```
",f4a14bfe7d2f5cee1bd95041162a0d8b9a82f9b5
518529,2,"d'oh! Spaces, not tabs.. even had it underlined. Sorry to make you go through all those!""",2012-03-05 05:11:20,mpinkston,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/888#discussion_r518529,2012-03-05T16:11:20Z,2012-03-09T20:34:49Z,mpinkston,CONTRIBUTOR,library/Zend/Di/Assertion.php,,1.0,,,1,"@@ -0,0 +1,28 @@
+<?php","d'oh! Spaces, not tabs.. even had it underlined. Sorry to make you go through all those!
",93a9f59fb6434c592d42db9d1e82484cf438979e
910056,2,"Is weird see a `max` method when one of the arguments is called `max` too""",2012-05-31 06:32:17,Maks3w,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/1371#discussion_r910056,2012-05-31T18:32:17Z,2012-06-01T13:37:58Z,Maks3w,MEMBER,library/Zend/Math/Rand/Generator.php,,,,,1,"@@ -0,0 +1,343 @@
+<?php
+
+namespace Zend\Math\Rand;
+
+use Zend\Math\Rand\Exception;
+
+class Generator
+{
+    const POOL_SIZE          = 320;
+    const WRITES_BEFORE_MIX  = 16;
+
+    /**
+     * @var array
+     */
+    protected $sources = array();
+
+    /**
+     * @var string
+     */
+    protected $pool;
+
+    /**
+     * Randomness pool cursor position
+     *
+     * @var int
+     */
+    protected $poolCursorPos = 0;
+
+    /**
+     * Pool writes counter
+     * @var int
+     */
+    protected $poolWriteCount = 0;
+
+    /**
+     * Constructor
+     */
+    public function __construct()
+    {
+        // init entropy sources
+        $this->initSources();
+
+        // create randomness pool
+        $this->pool = '';
+        $numSources = count($this->sources);
+        $length     = (int) ceil(self::POOL_SIZE / $numSources);
+
+        $i = 0;
+        while (strlen($this->pool) < self::POOL_SIZE) {
+            /* @var $source Closure */
+            $source = $this->sources[$i];
+            if ($s = $source($length)) {
+                $this->pool .= $s;
+            }
+            $i = (++$i % $numSources);
+        }
+
+        $this->pool = substr($this->pool, 0, self::POOL_SIZE);
+
+        // define mixing hash algorithm
+        $this->hashAlgo = (mt_rand(0, 1) === 0) ? 'whirlpool' : 'sha512';
+    }
+
+    /**
+     * Generate random string of bytes of specified length
+     *
+     * @param int $length
+     * @return string
+     * @throws Exception\InvalidArgumentException
+     */
+    public function getBytes($length)
+    {
+        if ($length < 1 || $length > self::POOL_SIZE) {
+            throw new Exception\InvalidArgumentException(
+                'Length should be between 1 and ' . self::POOL_SIZE
+            );
+        }
+
+        // collect entropy, and write to pool
+        $size = (int) ceil($length / count($this->sources));
+
+        /* @var $source Closure */
+        foreach ($this->sources as $source) {
+            if ($s = $source($size)) {
+                $this->writeToPool($s);
+            }
+        }
+
+        // read to buffer
+        $rand = $this->readFromPool($length);
+
+        // invert and mix pool
+        $this->pool = ~$this->pool;
+        $this->mix();
+
+        // read to buffer
+        $rand ^= $this->readFromPool($length);
+
+        return $rand;
+    }
+
+    /**
+     * Generate random boolean
+     *
+     * @return bool
+     */
+    public function getBoolean()
+    {
+        $byte = $this->getBytes(1);
+        return (ord($byte) + 1) % 2 ? true : false;
+    }
+
+    /**
+     * Generate a random integer within given range.
+     * Uses 0..PHP_INT_MAX if no range is given
+     *
+     * @param int $min
+     * @param int $max
+     * @return int
+     * @throws Exception\InvalidArgumentException
+     */
+    public function getInteger($min = 0, $max = PHP_INT_MAX)
+    {
+        $tmp = (int) max($max, $min);","Is weird see a `max` method when one of the arguments is called `max` too
",c14fc748ab8d86e664ed7281721465015bc0786b
760278,0,"Can you remove the unnecesary import? `use Zend\Authentication\Storage\StorageInterface as AuthenticationStorage`""",2012-05-01 19:29:07,Maks3w,zendframework,zf2,,https://github.com/zendframework/zendframework/pull/1125#discussion_r760278,2012-05-02T07:29:07Z,2012-05-02T16:41:39Z,Maks3w,MEMBER,library/Zend/Authentication/Storage/Session.php,,36.0,,,15,"@@ -34,7 +34,7 @@
  * @copyright  Copyright (c) 2005-2012 Zend Technologies USA Inc. (http://www.zend.com)
  * @license    http://framework.zend.com/license/new-bsd     New BSD License
  */
-class Session implements AuthenticationStorage
+class Session implements StorageInterface","Can you remove the unnecesary import? `use Zend\Authentication\Storage\StorageInterface as AuthenticationStorage`
",46b6838097d3e5add1f6863e9b63b6e9e2ce83f8
