comment_id,commit_id,author_login,author_id,body,created_at,updated_at
40711,ce3315b38c7997003e8e490cd2b90a6e13711dd1,viktorklang,10871,"Line 173
If you have several RemoteServers in the same ClassLoader, then you're going to shutdown the entire cluster when you shut one of the remoteservers down, even if there are others online. Is this the intended behavior?
",2010-01-03T12:37:34Z,2010-01-03T12:37:34Z
104742,9b3aed1e293abdd8855b1d31baf037b28c2c85cc,krasserm,202907,"The commit title (Race condition ...) is wrong. It's actually an ordering problem when shutting down actors with ActorRegistry.shutdownAll. Therefore, x.isRunning and Scheduler.unschedule(x) don't need to be an atomic operation.
",2010-07-07T05:34:15Z,2010-07-07T05:34:15Z
106782,9b3aed1e293abdd8855b1d31baf037b28c2c85cc,jboner,10701,"You are right. Thanks for reviewing. 
",2010-07-11T08:42:14Z,2010-07-11T08:42:14Z
110697,6a82839dfbf31510197ea69c4f400c71b6539663,viktorklang,10871,"Perhaps a little something like this?

timeoutActor = timeoutActor flatMap { ref => Scheduler.unschedule(ref); None }
",2010-07-19T15:25:13Z,2010-07-19T15:25:13Z
119615,918f0b37d634b16661b5f36f1d036c9790df239c,krasserm,202907,"@Jonas: what was the reason for changing self.timeout from 1 to 1000? Don't understand it. I was initially setting it to 1 because wanted to have the timeout as fast as possible in the test.
",2010-07-29T18:59:02Z,2010-07-29T18:59:02Z
127514,bbb17e6eb3e0541019dc20bce00dfc27747fd23c,retronym,65551,"copy-pasto
",2010-08-12T19:27:23Z,2010-08-12T19:27:23Z
127531,bbb17e6eb3e0541019dc20bce00dfc27747fd23c,momania,66616,"Huh?
",2010-08-12T19:36:45Z,2010-08-12T19:36:45Z
127536,bbb17e6eb3e0541019dc20bce00dfc27747fd23c,retronym,65551,"s/string/protobuf/
",2010-08-12T19:42:00Z,2010-08-12T19:42:00Z
127540,bbb17e6eb3e0541019dc20bce00dfc27747fd23c,momania,66616,"Ah damn... now I see it too :D

_oeps_ :P
",2010-08-12T19:45:51Z,2010-08-12T19:45:51Z
134873,f47a10eaab335ed8ee14a8fea763fe13eafd639b,jboner,10701,"Nice one :-)
",2010-08-25T22:06:36Z,2010-08-25T22:06:36Z
135174,f47a10eaab335ed8ee14a8fea763fe13eafd639b,viktorklang,10871,"Mr Miyagi style :-)
",2010-08-26T09:43:46Z,2010-08-26T09:43:46Z
201783,2d1fefe461f60eba7b882785c9b05e5a8fb3c4d8,ginkel,174129,"While this works for the Akka build itself, it apparently broke the sbt/AkkaProject-based build of my depending project, which does not see the embedded-repository, nor does aspectwerkz-2.2.3.jar get published to the local ivy repository using sbt publish-local. A minimal failing project is available at https://github.com/ginkel/akka-minimal-project as an example.
",2010-11-24T07:10:57Z,2010-11-24T07:10:57Z
201989,40e40a578ac12d68f98c76653f789f802531e63a,sirthias,135347,"Needs to be updated!
",2010-11-24T14:11:30Z,2010-11-24T14:11:30Z
201994,40e40a578ac12d68f98c76653f789f802531e63a,viktorklang,10871,"It _IS_ updated.
Use underlying slf4j logger if you want maximum performance.
",2010-11-24T14:16:30Z,2010-11-24T14:16:30Z
201995,40e40a578ac12d68f98c76653f789f802531e63a,sirthias,135347,"Sorry for being unclear.
The class documentation is now incorrect and needs to be updated/corrected. (Your s/log.info/log.slf4j.info/ went a bit too far)
Users can now either use the direct logging methods using String.format syntax or the methods of the slf4j member which uses SLF4J syntax.
",2010-11-24T14:20:52Z,2010-11-24T14:20:52Z
