comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3115697,0,"Job pr-validator-per-commit failed for 7ea3044a [(results)](https://jenkins.akka.io:8498/job/pr-validator-per-commit/59/):  <br>Took 46 min.<br> to rebuild, comment """"PLS REBUILD/pr-validator-per-commit@7ea3044af87b28d654bfb955a39c8fd1d4e99e52"""" on PR 1389""",2013-04-30 01:00:28,akka-ci,akka,akka,7ea3044af87b28d654bfb955a39c8fd1d4e99e52,akka-ci,2511948,"Job pr-validator-per-commit failed for 7ea3044a [(results)](https://jenkins.akka.io:8498/job/pr-validator-per-commit/59/):

<br>Took 46 min.<br> to rebuild, comment ""PLS REBUILD/pr-validator-per-commit@7ea3044af87b28d654bfb955a39c8fd1d4e99e52"" on PR 1389
",2013-04-30T13:00:28Z,2013-04-30T13:00:28Z
1863986,0,"Why abs if i is known to be negative?""",2012-09-17 01:49:23,drewhk,akka,akka,44f4fdb003dbf8014bef8bc2bc22c3e974815eaf,drewhk,932285,"Why abs if i is known to be negative?
",2012-09-17T13:49:23Z,2012-09-17T13:49:23Z
1538075,0,"I believe the correct parlance is """"instance initializer""""""",2012-07-04 00:46:47,viktorklang,akka,akka,d7bed79730c7659c4bfb375808d4959fe1249862,viktorklang,10871,"I believe the correct parlance is ""instance initializer""
",2012-07-04T12:46:47Z,2012-07-04T12:46:47Z
1443828,0,"Ah, didn't know that. *That* sounds like a better solution for sure. """,2012-06-11 09:41:57,jboner,akka,akka,34c9e49ee0915318e4f36c7ce33248c3072ab50c,jboner,10701,"Ah, didn't know that. _That_ sounds like a better solution for sure. 
",2012-06-11T21:41:57Z,2012-06-11T21:41:57Z
1301331,1,"+1, merge!""",2012-05-07 05:27:38,viktorklang,akka,akka,c3f7aac8f3342c5b47e9dac6988b422ff7cbe289,viktorklang,10871,"+1, merge!
",2012-05-07T17:27:38Z,2012-05-07T17:27:38Z
812038,0,"these can probably go now""",2011-12-20 22:33:43,rkuhn,akka,akka,dac0beb01b9ffe01ef85b3334c7077909321370a,rkuhn,470469,"these can probably go now
",2011-12-21T09:33:43Z,2011-12-21T09:33:43Z
812042,0,"true""",2011-12-20 22:34:50,henrikengstrom,akka,akka,dac0beb01b9ffe01ef85b3334c7077909321370a,henrikengstrom,506945,"true
",2011-12-21T09:34:50Z,2011-12-21T09:34:50Z
798278,0,"use mapTo for type coercions (casting is cheaper though)""",2011-12-15 07:37:39,viktorklang,akka,akka,3b6c3e28d3eabfdfa5c38071528f777834fa7306,viktorklang,10871,"use mapTo for type coercions (casting is cheaper though)
",2011-12-15T18:37:39Z,2011-12-15T18:37:39Z
798284,0,"This isn't parallel, if that should be the case""",2011-12-15 07:40:45,viktorklang,akka,akka,3b6c3e28d3eabfdfa5c38071528f777834fa7306,viktorklang,10871,"This isn't parallel, if that should be the case
",2011-12-15T18:40:45Z,2011-12-15T18:40:45Z
798285,0,"Might be worth adding a .. warning:: section on that""",2011-12-15 07:40:59,viktorklang,akka,akka,3b6c3e28d3eabfdfa5c38071528f777834fa7306,viktorklang,10871,"Might be worth adding a .. warning:: section on that
",2011-12-15T18:40:59Z,2011-12-15T18:40:59Z
774000,0,"Needs to be documented that it's blocking""",2011-12-06 10:43:25,viktorklang,akka,akka,a1d8f306698a2f61d57f696e9f69ca1b5a6fdc28,viktorklang,10871,"Needs to be documented that it's blocking
",2011-12-06T21:43:25Z,2011-12-06T21:43:25Z
772044,0,"I can understand your worries, the current suggestion was the least of all evils:  Actor == The behavior self    == The identity context == The context""",2011-12-06 00:15:00,viktorklang,akka,akka,3204269f6a0fb2aec94595f504e2c423d9344b5c,viktorklang,10871,"I can understand your worries, the current suggestion was the least of all evils:

Actor == The behavior
self    == The identity
context == The context
",2011-12-06T11:15:00Z,2011-12-06T11:15:00Z
753694,0,"It doesn't compile even. You meant instead of using system.actorOf I suppose?""",2011-11-29 02:27:29,henrikengstrom,akka,akka,823a68ac0f77bac7c4a67f643ad50073051e0d2a,henrikengstrom,506945,"It doesn't compile even. You meant instead of using system.actorOf I suppose?
",2011-11-29T13:27:29Z,2011-11-29T13:27:29Z
677017,1,"Thank you. """,2011-10-26 08:08:19,jboner,akka,akka,80282d1f1de9c5a21247ad9d1b22bdb202b967ed,jboner,10701,"Thank you. 
",2011-10-26T20:08:19Z,2011-10-26T20:08:19Z
659240,1,"Awesomely done Roland!""",2011-10-18 07:45:49,viktorklang,akka,akka,5c823ad50d85d484a68b407279faeb173bb7c164,viktorklang,10871,"Awesomely done Roland!
",2011-10-18T19:45:49Z,2011-10-18T19:45:49Z
502985,0,"> Should probably use composition instead of inheritance to provide the Router-functionality, otherwise CustomRouter will never wor  That is what we talked about this morning. But to do a redesign on this part, I do not consider a part of this already to""",2011-07-29 01:47:42,pveentjer,akka,akka,4b4f38c9738b06e04b956bef669855a899118d3e,pveentjer,105243,"> Should probably use composition instead of inheritance to provide the Router-functionality, otherwise CustomRouter will never wor

That is what we talked about this morning. But to do a redesign on this part, I do not consider a part of this already to big task. But we both agree upon that the current approach is not very extensible friendly. But this is the approach used in the ClusteredActorRef. 

But a Akka developer that wants to provide a custom router can of course always do something like: 
new RoutedActorRef(actorAddress, connections) with CustomRouter
if he wants to provide his own implementation.
",2011-07-29T13:47:42Z,2011-07-29T13:48:14Z
484715,0,"Hi Viktor,  I'll change it back. I didn't know this was a recommended practice in Scala.  On Tue, Jul 19, 2011 at 3:12 PM, viktorklang < reply@reply.github.com>wrote:  > I definitely prefer ADT over magic value > > -- > Reply to this email directly or view""",2011-07-19 00:18:26,pveentjer,akka,akka,a145e0773cafee3825eaece65065238dd15c4c68,pveentjer,105243,"Hi Viktor,

I'll change it back. I didn't know this was a recommended practice in Scala.

On Tue, Jul 19, 2011 at 3:12 PM, viktorklang <
reply@reply.github.com>wrote:

> I definitely prefer ADT over magic value
> ## 
> 
> Reply to this email directly or view it on GitHub:
> 
> https://github.com/jboner/akka/commit/a145e0773cafee3825eaece65065238dd15c4c68#commitcomment-484700
",2011-07-19T12:18:26Z,2011-07-19T12:18:26Z
484686,0,"But can't put it in Configuration. That is a generic parser. Put it in Deployer where the deployment parser is.  -- Jonas Bonér CTO Typesafe - Enterprise-Grade Scala from the Experts Phone: +46 733 777 123 Twitter: @jboner  On Jul 19, 2011 1:37 PM""",2011-07-18 23:59:20,jboner,akka,akka,5635c9f76a5950d6231c40c3e705648d9a5f9158,jboner,10701,"But can't put it in Configuration. That is a generic parser. Put it in
Deployer where the deployment parser is.
## 

Jonas Bonér
CTO
Typesafe - Enterprise-Grade Scala from the Experts
Phone: +46 733 777 123
Twitter: @jboner
 On Jul 19, 2011 1:37 PM, ""pveentjer"" <
reply@reply.github.com>
wrote:

> He Viktor,
> 
> the code isn't the prettiest but it deals with the ambiguity replication
> vs
> replication-factor.
> 
> On Tue, Jul 19, 2011 at 11:25 AM, viktorklang <
> reply@reply.github.com>wrote:
> 
> > Dude, this is a total hack.
> > There _has_ to be another way
> > ## 
> > 
> > Reply to this email directly or view it on GitHub:
> > 
> > https://github.com/jboner/akka/commit/5635c9f76a5950d6231c40c3e705648d9a5f9158#commitcomment-484440
> ## 
> 
> Reply to this email directly or view it on GitHub:
> 
> https://github.com/jboner/akka/commit/5635c9f76a5950d6231c40c3e705648d9a5f9158#commitcomment-484664
",2011-07-19T11:59:20Z,2011-07-19T11:59:20Z
391354,0,"Moving CallingThreadDispatcherModelSpec.scala broke the build on my machine. Does it still work on yours?""",2011-05-19 08:55:34,derekjw,akka,akka,a48f6fdf9095180b76aa1cde433976b60d2cd0da,derekjw,7174,"Moving CallingThreadDispatcherModelSpec.scala broke the build on my machine. Does it still work on yours?
",2011-05-19T20:55:34Z,2011-05-19T20:55:34Z
