comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3419817,1,"#3828 was the right issue ;)""",2013-06-13 07:23:11,svbergerem,diaspora,diaspora,c6d158bd811d6bb18c5bc059fb173f2dfd485eda,svbergerem,3798614,"#3828 was the right issue ;)
",2013-06-13T19:23:11Z,2013-06-13T19:23:11Z
1256918,0,"you mean, like, don't ask for stuff or no interaction at all?  Because I really like people to read what it will do, especially if they don't get to change stuff before it does it. And so, maybe we can keep the """"press enter to continue..."""" stuff, and tell""",2012-04-25 05:10:44,Raven24,diaspora,diaspora,3ff94b0312d5cc655fceac5651c7d78bf3334c0a,Raven24,117366,"you mean, like, don't ask for stuff or no interaction at all? 
Because I really like people to read what it will do, especially if they don't get to change stuff before it does it. And so, maybe we can keep the ""press enter to continue..."" stuff, and tell the user about everything that is going to happen.
",2012-04-25T17:10:44Z,2012-04-25T17:10:44Z
1258247,1,"Completed work! [The show must go on](http://www.youtube.com/watch?v=4ADh8Fs3YdU) :]""",2012-04-25 08:42:20,movilla,diaspora,diaspora,a9dd997f23fb71d53efdab055be361e89e1ef5de,movilla,1108789,"Completed work! [The show must go on](http://www.youtube.com/watch?v=4ADh8Fs3YdU) :]
",2012-04-25T20:42:20Z,2012-04-25T20:44:06Z
1145597,0,"one was making StatusMessages, which now define a custom parser. before our merged branch, they actually were aliases, but now the are not.  in JS, streams are always just posts.""",2012-03-28 10:04:29,maxwell,diaspora,diaspora,9008e661d71f826d90ae37f795ef09f0897ac970,maxwell,69663,"one was making StatusMessages, which now define a custom parser. before our merged branch, they actually were aliases, but now the are not.

in JS, streams are always just posts.
",2012-03-28T22:04:29Z,2012-03-28T22:04:29Z
884121,0,"hmm so this is causing jquery to add a param and an a cachebusting string, which is making client_side_validations barf....""",2012-01-19 12:07:17,maxwell,diaspora,diaspora,5626948b3fa9d1c9c423809ee64f0ff3c19b4e5e,maxwell,69663,"hmm so this is causing jquery to add a param and an a cachebusting string, which is making client_side_validations barf....
",2012-01-19T23:07:17Z,2012-01-19T23:07:17Z
817721,0,"The other side of the issue is that if you do a move instead of a copy on setup you got a problem. Having another file might be a solution but if you want for any reason custom modifications in it and having it in the version control is not so good, also w""",2011-12-22 23:42:31,MrZYX,diaspora,diaspora,2817fb95defba736757ad4bf3597dd769617c24b,jhass,141294,"The other side of the issue is that if you do a move instead of a copy on setup you got a problem. Having another file might be a solution but if you want for any reason custom modifications in it and having it in the version control is not so good, also we would basically have to double maintain the currently available settings. The issue that you have to port new settings manually exists already, for every env. So either we improve app_config.rb a lot to handle all the defaults (double maintaining them again) or I would get back to my old idea of having a default config and let the user override them in a not tracked file. 
",2011-12-23T10:42:31Z,2011-12-23T10:45:22Z
705889,1,"<3""",2011-11-09 06:31:37,prellele,diaspora,diaspora,22dc8f44ef849496659fe1a627c1e0f70afaddbc,prellele,752591,"<3
",2011-11-09T17:31:37Z,2011-11-09T17:31:37Z
699344,0,"I added that because there's a test relying on the order -> randomly failing under postgres without it.""",2011-11-06 21:13:58,MrZYX,diaspora,diaspora,35216808e05c1011eae37e3c9502c225a966236c,jhass,141294,"I added that because there's a test relying on the order -> randomly failing under postgres without it.
",2011-11-07T08:13:58Z,2011-11-07T08:13:58Z
657291,0,"oh just noticed daniel change it here b46200224e""",2011-10-17 12:52:18,grzuy,diaspora,diaspora,61ae84319337286ffee9f96c1eefcc02a63580a9,grzuy,456459,"oh just noticed daniel change it here b46200224e
",2011-10-18T00:52:18Z,2011-10-18T00:52:18Z
654071,0,"no its just wrong""",2011-10-15 16:39:12,maxwell,diaspora,diaspora,88c6db5de424f2670d54abbac4239488ee958e17,maxwell,69663,"no its just wrong
",2011-10-16T04:39:12Z,2011-10-16T04:39:12Z
