comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3414320,1,"Great addition, thanks Ben!""",2013-06-12 19:27:27,dosire,gitlabhq,gitlabhq,fc80592ea1cb67cd65498a8b5f332848696b0356,dosire,22061,"Great addition, thanks Ben!
",2013-06-13T07:27:27Z,2013-06-13T07:27:27Z
2044385,0,"@SaitoWu Also why we need shared repositories if we have umask?""",2012-10-23 22:14:31,randx,gitlabhq,gitlabhq,e09bff082eade2ce35e6ef8af3e265b37f6a0483,dzaporozhets,305940,"@SaitoWu Also why we need shared repositories if we have umask?
",2012-10-24T10:14:31Z,2012-10-24T10:14:31Z
2009025,0,"You should consider using PR and have someone else merge it after a review, instead of hastily pushing your commits. Even for small changes. ;)""",2012-10-17 00:25:31,riyad,gitlabhq,gitlabhq,31f1cebe4bc545fc00947475211ab52d84b356ce,riyad,99679,"You should consider using PR and have someone else merge it after a review, instead of hastily pushing your commits. Even for small changes. ;)
",2012-10-17T12:25:31Z,2012-10-17T12:26:09Z
1918995,0,":-1: It now takes 2 controllers to serve a single resource""",2012-09-27 20:20:32,NARKOZ,gitlabhq,gitlabhq,3574826920eb958c5e59e86bb79b0773c187abfb,NARKOZ,253398,":-1: It now takes 2 controllers to serve a single resource
",2012-09-28T08:20:32Z,2012-09-28T08:20:32Z
1214783,2,"May I ask why you introduce all these non-semantic elements into the layout? I know that bootstrap provides these, but I don't think that it's a good practice to use them directly.  Especially with elements classes like """"right"""", it makes it harder to resty""",2012-04-15 23:31:15,arthurschreiber,gitlabhq,gitlabhq,c0df0cd70c9036c2b3bf11f823d61a3618e6d16a,arthurschreiber,2195,"May I ask why you introduce all these non-semantic elements into the layout? I know that bootstrap provides these, but I don't think that it's a good practice to use them directly.

Especially with elements classes like ""right"", it makes it harder to restyle the elements using just CSS, as you always have to change the HTML structure, too. (Or you overwrite the styling of the ""right"" class with left alignment, which is just confusing and plain weird.)

Instead, you should use semantic class names and make use of the '@extend' function of sass to extend your semantic classes with bootstrap functionality. 
",2012-04-16T11:31:15Z,2012-04-16T11:31:15Z
1182927,0,"@randx relying on very specific releases of MySQL sounds like a bad idea. Just my $0.02.""",2012-04-06 09:22:35,ariejan,gitlabhq,gitlabhq,17a88bb6a21cc8b6125bd2e36c1f62f4bd13300e,ariejan,1913,"@randx relying on very specific releases of MySQL sounds like a bad idea. Just my $0.02.
",2012-04-06T21:22:35Z,2012-04-06T21:22:35Z
1967741,0,"It's their responsibility to manage uploads.""",2012-10-09 01:29:47,NARKOZ,gitlabhq,gitlabhq,9ba1224867665844b117fa037e1465bb706b3685,NARKOZ,253398,"It's their responsibility to manage uploads.
",2012-10-09T13:29:47Z,2012-10-09T13:29:47Z
2416193,0,"@randx Shouldn't 'Resque' be changed here as well?""",2013-01-10 08:29:02,tristanvanbokkem,gitlabhq,gitlabhq,66ecfa77e5105c8a8151db899e3d3a09dba3024e,tvb,1263414,"@randx Shouldn't 'Resque' be changed here as well?
",2013-01-10T19:29:02Z,2013-01-10T19:29:02Z
3942726,2,"@Razer6 you are right. I did not noticed #4594 :(""",2013-08-25 23:58:30,randx,gitlabhq,gitlabhq,6b206c9d965c664053ff0139736357ea096f4766,dzaporozhets,305940,"@Razer6 you are right. I did not noticed #4594 :(
",2013-08-26T11:58:30Z,2013-08-26T11:58:30Z
2466138,2,"@riyad But you added it in Pull Request. And this code is in master. So we got a broken build for one day :(""",2013-01-19 21:39:09,randx,gitlabhq,gitlabhq,75447fb044d767a5bda7c707e58a0456318c021a,dzaporozhets,305940,"@riyad But you added it in Pull Request. And this code is in master. So we got a broken build for one day :(
",2013-01-20T08:39:09Z,2013-01-20T08:39:09Z
