comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
1745958,0,"@tricil seems like a GitHub issue, when you actually go to the raw file, you do see it correctly: https://raw.github.com/h5bp/html5-boilerplate/master/js/vendor/jquery-1.8.0.min.js""",2012-08-21 10:12:48,christianv,h5bp,html5-boilerplate,1c30c5a6602c708cca718572eaa80b52110d3f81,christianvuerings,127199,"@tricil seems like a GitHub issue, when you actually go to the raw file, you do see it correctly:
https://raw.github.com/h5bp/html5-boilerplate/master/js/vendor/jquery-1.8.0.min.js
",2012-08-21T22:12:48Z,2012-08-21T22:12:48Z
1686526,2,"`readme` is capitalized again.  I like `changelog.md`. Also `readme.md` is better than `README.md`. To me having all caps in my filenames feels somehow wrong.""",2012-08-08 00:37:24,drublic,h5bp,html5-boilerplate,703d0b8651120a96848d55a0db059a7f334c2638,drublic,502487,"`readme` is capitalized again.

I like `changelog.md`. Also `readme.md` is better than `README.md`. To me having all caps in my filenames feels somehow wrong.
",2012-08-08T12:37:24Z,2012-08-08T12:37:24Z
1245144,2,"Just Mario-Karted into work, while dealing with already terrible Atlanta drivers who are trying to cope with the fact that winds have knocked out every light in Midtown, for this? I feel like I'm taking crazy pills.   At the same time, its whatever dude.""",2012-04-23 02:54:46,j-hernandez,h5bp,html5-boilerplate,1d320b59a390041f25cf87d790f6472a25a512ef,j-hernandez,499335,"Just Mario-Karted into work, while dealing with already terrible Atlanta drivers who are trying to cope with the fact that winds have knocked out every light in Midtown, for this? I feel like I'm taking crazy pills. 

At the same time, its whatever dude. I'll just make the two tiny changes to add hot pink back in where appropriate and it will take all of half a second. Hot Pank Reprazent.
",2012-04-23T14:54:46Z,2012-04-23T14:54:46Z
1281844,2,"@ProLoser What?! This is no Mac vs PC argument! I'm merely mentioning that presumably the default colour should be the native colour of the platform with the most marketshare. Oh well, I suppose it's not too important :-S  (Also I'm saddened that you fou""",2012-05-01 22:16:38,timdavies,h5bp,html5-boilerplate,1d320b59a390041f25cf87d790f6472a25a512ef,timdavies,237173,"@ProLoser What?! This is no Mac vs PC argument! I'm merely mentioning that presumably the default colour should be the native colour of the platform with the most marketshare. Oh well, I suppose it's not too important :-S

(Also I'm saddened that you found the need to be so offensive in response to a post that was perfectly civil).
",2012-05-02T10:16:38Z,2012-05-02T10:24:54Z
1048473,1,"@phobia There is no prefixes for text-shadow (yay \o/).""",2012-03-06 03:05:45,Calvein,h5bp,html5-boilerplate,aa0396eae757c9e03dda4e463fb0d4db5a5f82d7,Calvein,243189,"@phobia There is no prefixes for text-shadow (yay \o/).
",2012-03-06T14:05:45Z,2012-03-06T14:05:45Z
846592,0,"unfortunately, adding this directive seems to cause problems with some rewrite rules.  [Sat Jan 07 14:59:06 2012] [error] [client 24.90.*.*] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: /var""",2012-01-07 09:13:52,moimikey,h5bp,html5-boilerplate,e2ca1bf93104b773a05c1ffc32086d9373920b78,moimikey,182661,"unfortunately, adding this directive seems to cause problems with some rewrite rules.

[Sat Jan 07 14:59:06 2012] [error] [client 24.90._._] Options FollowSymLinks or SymLinksIfOwnerMatch is off which implies that RewriteRule directive is forbidden: /var/www/vhosts/hertzberg.co/hsquared.co/www/wp-includes/js/thickbox/thickbox.css, referer: http://hsquared.co/wp-admin/update-core.php
[...]
",2012-01-07T20:13:52Z,2012-01-07T20:13:52Z
774178,0,"IMHO it’s still a matter of… will people read the comments / documentation and remove what they don’t want or need? History has shown that generally, they won’t.""",2011-12-06 11:39:35,mathiasbynens,h5bp,html5-boilerplate,2727fa23a6715080f120fd41792a6a8c1b112125,mathiasbynens,81942,"IMHO it’s still a matter of… will people read the comments / documentation and remove what they don’t want or need? History has shown that generally, they won’t.
",2011-12-06T22:39:35Z,2011-12-06T22:39:35Z
575175,0,"We got a buildscript so we can afford to have 45 extra bytes in the uncompressed JS.  In fact, I'd be fine with more friendly variable names. I just like it minified because this code doesnt deserve to absorb vertical space in the file.""",2011-09-07 07:41:59,paulirish,h5bp,html5-boilerplate,70a836c34dd05590c2a0260a5aa425ed9893da86,paulirish,39191,"We got a buildscript so we can afford to have 45 extra bytes in the uncompressed JS.  In fact, I'd be fine with more friendly variable names. I just like it minified because this code doesnt deserve to absorb vertical space in the file.
",2011-09-07T19:41:59Z,2011-09-07T19:41:59Z
524608,1,"i'm sure i forgot a lot of people.. like @gmoulin and other dev powerhouses.. sorry and i'll try to get you added.   @retlehs thx for downstreaming our changes into Roots Theme before we even ship them. killer. :)""",2011-08-10 06:16:39,paulirish,h5bp,html5-boilerplate,1e79f7b7dfc852d047be225289a38afe15993391,paulirish,39191,"i'm sure i forgot a lot of people.. like @gmoulin and other dev powerhouses.. sorry and i'll try to get you added. 

@retlehs thx for downstreaming our changes into Roots Theme before we even ship them. killer. :)
",2011-08-10T18:16:39Z,2011-08-10T18:16:39Z
482279,0,"Allow only vertical resizing"""" - why this? This affects Usability and can even affect Accessibility in some cases.""",2011-07-17 20:57:29,anselmh,h5bp,html5-boilerplate,5416bcd103e3d1118a48ca93d17ffc0280ef96ec,anselmh,399345,"""Allow only vertical resizing"" - why this? This affects Usability and can even affect Accessibility in some cases.
",2011-07-18T08:57:29Z,2011-07-18T08:57:29Z
