comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3894703,0,"Reverted.""",2013-08-19 10:27:40,timmywil,jquery,jquery,f6e86c3ca4d527d5453a0b5b9591ef38b5d3c000,timmywil,192451,"Reverted.
",2013-08-19T22:27:40Z,2013-08-19T22:27:40Z
2290082,0,"These are the ones we currently hardcode in TestSwarm itself. After QUnit is done, TestSwarm's client script removes these elements before making a snapshot of the DOM to push to the results object in TestSwarm for this run.  I moved that logic to here, """,2012-12-11 07:52:55,Krinkle,jquery,jquery,cef044d82ec0d338b2b69756d3ba08692fb80ae4,Krinkle,156867,"These are the ones we currently hardcode in TestSwarm itself. After QUnit is done, TestSwarm's client script removes these elements before making a snapshot of the DOM to push to the results object in TestSwarm for this run.

I moved that logic to here, to then remove that logic from TestSwarm. Feel free to update it (until it recently even `#main` was still listed here, from the-ages-ago-version of QUnit). For example, `#nothiddendiv` is now in `#qunit-fixture` and no longer needs to be explicitly cleaned up.
",2012-12-11T18:52:55Z,2012-12-11T18:52:55Z
2255250,0,"``` PHP Notice:  Use of undefined constant response  ```""",2012-12-04 21:08:17,Krinkle,jquery,jquery,228ab3ddae527f72cc3122a1c6115d7718bcfd57,Krinkle,156867,"```
PHP Notice:  Use of undefined constant response 
```
",2012-12-05T08:08:17Z,2012-12-05T08:08:17Z
2256549,0,"Because I thought I didn't need the quotes, which I no know I do.""",2012-12-05 01:53:01,jaubourg,jquery,jquery,228ab3ddae527f72cc3122a1c6115d7718bcfd57,jaubourg,160354,"Because I thought I didn't need the quotes, which I no know I do.
",2012-12-05T12:53:01Z,2012-12-05T12:53:01Z
2190149,2,"@gibson042, You're not gonna believe this but ... https://github.com/jquery/jquery-mobile/blob/4e2fef1dd1bf7cda10983adab7eeee641a8733bf/tests/jquery.testHelper.js#L124 :sob:  They're going to try switching to a direct $.ajax call for the script but it ha""",2012-11-21 09:20:01,dmethvin,jquery,jquery,e889134058232c5e19156353c5fc3bf3b4915a94,dmethvin,157858,"@gibson042, You're not gonna believe this but ... https://github.com/jquery/jquery-mobile/blob/4e2fef1dd1bf7cda10983adab7eeee641a8733bf/tests/jquery.testHelper.js#L124 :sob:

They're going to try switching to a direct $.ajax call for the script but it had me a bit concerned that others might be using that.
",2012-11-21T20:20:01Z,2012-11-21T20:20:01Z
2080638,0,"Yeah I agree that makes more sense. I can do a followup.""",2012-10-31 02:54:46,dmethvin,jquery,jquery,e8f91514a6f353e85d8117998087903dc7331210,dmethvin,157858,"Yeah I agree that makes more sense. I can do a followup.
",2012-10-31T13:54:46Z,2012-10-31T13:54:46Z
2049583,1,"Very deep ;-)""",2012-10-24 15:35:30,Krinkle,jquery,jquery,812c6087ada4a6383fd2e033d04648ec0f6691ea,Krinkle,156867,"Very deep ;-)
",2012-10-25T03:35:30Z,2012-10-25T03:35:30Z
2025991,0,"We can only compare our results to json.parse on browser that have the native method. I agree it's not optimal to test this everywhere but where we actually use it. Perhaps we dump this test's attempt to compare since we don't care about the native result.""",2012-10-19 11:33:24,dmethvin,jquery,jquery,3144163f61ea89855818fab597a2b5f1074d10c3,dmethvin,157858,"We can only compare our results to json.parse on browser that have the native method. I agree it's not optimal to test this everywhere but where we actually use it. Perhaps we dump this test's attempt to compare since we don't care about the native result.
",2012-10-19T23:33:24Z,2012-10-19T23:33:24Z
1509152,0,"Yea, prepublish is what most people use in the npm community as a courtesy though. The idea being that you should distribute the built files so that when people download a package they don't have to have the extra rebuild/compile step (and can avoid extra """,2012-06-26 20:10:49,fat,jquery,jquery,d5658e978d9a7234e537d57c45069ce223cb3853,fat,169705,"Yea, prepublish is what most people use in the npm community as a courtesy though. The idea being that you should distribute the built files so that when people download a package they don't have to have the extra rebuild/compile step (and can avoid extra dependencies like grunt).

@jed gave a talk on npm at txjs where he talked about a similar issue with people publishing coffee script packages and suggested this (prepublish) hook pattern.
",2012-06-27T08:10:49Z,2012-06-27T08:10:49Z
1478609,0,"Why is this being removed? It's only a """"duplicate"""" to improve performance.""",2012-06-19 08:44:42,rwaldron,jquery,jquery,713cc8609637a943f77039726d96f5e9f7a36f2b,rwaldron,27985,"Why is this being removed? It's only a ""duplicate"" to improve performance.
",2012-06-19T20:44:42Z,2012-06-19T20:44:42Z
