comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3431308,0,"That's only a problem when this library would be in use stand-alone. We always use it after including uv.h (and it's internal), and uv.h takes care of the vs2008 monkey patching.  In fact I only added that include to make sure @bnoordhuis wouldn't compla""",2013-06-15 01:03:10,piscisaureus,joyent,libuv,7d8504cf691325698a998cd55062156296185989,piscisaureus,218257,"That's only a problem when this library would be in use stand-alone. We always use it after including uv.h (and it's internal), and uv.h takes care of the vs2008 monkey patching.

In fact I only added that include to make sure @bnoordhuis wouldn't complain about me using `uintptr_t`. It's sort of obvious that (long) was used here to make this little header file completely independent, alas that's not possible.
",2013-06-15T13:03:10Z,2013-06-15T13:03:10Z
804329,0,"Purely out of interest. Do you know how to create a symbol so that dlsym() returns NULL when you try to resolve it?""",2011-12-18 05:04:24,wereHamster,joyent,libuv,feb267e61184887bb0cd1da09e62762ef0bbe9a4,wereHamster,34538,"Purely out of interest. Do you know how to create a symbol so that dlsym() returns NULL when you try to resolve it?
",2011-12-18T16:04:24Z,2011-12-18T16:04:24Z
431475,0,"@piscisaureus, @HenryRawas   I think you can just link in the object files like I'm doing in config-unix.mk  https://github.com/joyent/libuv/blob/49a2ed61204baecb10b616d1a738a922cb10d4b3/config-unix.mk#L39""",2011-06-15 00:36:48,ry,joyent,libuv,dae2c0979633a4f2670691421fbc15899910e7e2,ry,80,"@piscisaureus, @HenryRawas   I think you can just link in the object files like I'm doing in config-unix.mk

https://github.com/joyent/libuv/blob/49a2ed61204baecb10b616d1a738a922cb10d4b3/config-unix.mk#L39
",2011-06-15T12:36:48Z,2011-06-15T12:37:31Z
390455,2,"That's just bloody stupid. Libev stops the timer but still says it's active. :-/""",2011-05-19 00:35:31,piscisaureus,joyent,libuv,9c2dd6bea970b2376696aba070bdfc2873843cfb,piscisaureus,218257,"That's just bloody stupid. Libev stops the timer but still says it's active. :-/
",2011-05-19T12:35:31Z,2011-05-19T12:35:31Z
339502,2,"Looks like the book got pulled, link doesn't work for me. :(""",2011-04-12 07:54:22,joshthecoder,joyent,libuv,26b56fec8397e84c4f4700a57726dfe2eebc54a3,joshthecoder,25644,"Looks like the book got pulled, link doesn't work for me. :(
",2011-04-12T19:54:22Z,2011-04-12T19:54:22Z
3384359,2,"FWIW I'm still seeing problems in v0.10.10 :(  ```bash Compressing lodash.compat.min using the Closure Compiler (simple)... Assertion failed: (!uv__io_active(&stream->io_watcher, UV__POLLOUT) || !ngx_queue_empty(&stream->write_completed_queue) || !ngx_""",2013-06-08 15:04:48,jdalton,joyent,libuv,b38c9c1004993ca4f642629f5af1b7b09bbc6887,jdalton,4303,"FWIW I'm still seeing problems in v0.10.10 :(

``` bash
Compressing lodash.compat.min using the Closure Compiler (simple)...
Assertion failed: (!uv__io_active(&stream->io_watcher, UV__POLLOUT) || !ngx_queue_empty(&stream->write_completed_queue) || !ngx_queue_empty(&stream->write_queue) || stream->shutdown_req != NULL || stream->connect_req != NULL), function uv_read_stop, file ../deps/uv/src/unix/stream.c, line 1329.
Abort trap: 6
```
",2013-06-09T03:04:48Z,2013-06-09T03:05:13Z
515532,2,"My bad! Fixed in 2fbcbe9.""",2011-08-05 03:12:47,bnoordhuis,joyent,libuv,041d60e1416335a817f735c41e033d27bd8f7ade,bnoordhuis,275871,"My bad! Fixed in 2fbcbe9.
",2011-08-05T15:12:47Z,2011-08-05T15:12:47Z
3431309,1,"Ah, sure. Thanks for explaining and sorry for the noise! :-)""",2013-06-15 01:04:09,saghul,joyent,libuv,7d8504cf691325698a998cd55062156296185989,saghul,317464,"Ah, sure. Thanks for explaining and sorry for the noise! :-)
",2013-06-15T13:04:09Z,2013-06-15T13:04:09Z
3298055,1,"This fixes many bugs, cheers""",2013-05-27 13:31:06,JamesS237,joyent,libuv,b38c9c1004993ca4f642629f5af1b7b09bbc6887,jcspencer,860934,"This fixes many bugs, cheers
",2013-05-28T01:31:06Z,2013-05-28T01:31:06Z
3298261,1,"Great, thanks""",2013-05-27 14:28:38,chriso,joyent,libuv,b38c9c1004993ca4f642629f5af1b7b09bbc6887,chriso,364903,"Great, thanks
",2013-05-28T02:28:38Z,2013-05-28T02:28:38Z
