comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3565454,1,"@normanmaurer Nice catch ! Did you make the same on Netty 3 ?""",2013-07-03 21:52:28,fredericBregier,netty,netty,1fee1ef74ed8ac515c19a7f8eebd16f41a37b7b6,fredericBregier,477131,"@normanmaurer Nice catch !
Did you make the same on Netty 3 ?
",2013-07-04T09:52:28Z,2013-07-04T09:52:28Z
3504879,0,"That's why I didn't close after sending the close frame.  On 06/26/2013 01:49 AM, Norman Maurer wrote: > > The client channel should wait for the close response of the server,  > as mention in the websockets rfc. So I think we should make to do it so... > """,2013-06-25 13:06:03,trustin,netty,netty,cfd514d099fb41b2a467ca208fe1334bb04f8f6c,trustin,173918,"That's why I didn't close after sending the close frame.

On 06/26/2013 01:49 AM, Norman Maurer wrote:

> The client channel should wait for the close response of the server, 
> as mention in the websockets rfc. So I think we should make to do it so...
> 
> —
> Reply to this email directly or view it on GitHub 
> https://github.com/netty/netty/commit/cfd514d099fb41b2a467ca208fe1334bb04f8f6c#commitcomment-3500537.
## 

https://twitter.com/trustin
https://twitter.com/trustin_ko
https://twitter.com/netty_project
",2013-06-26T01:06:03Z,2013-06-26T01:06:03Z
3404541,0,"Why you think using ImmediateEventExecutor is wrong ?""",2013-06-11 16:32:03,normanmaurer,netty,netty,fd0084ecfa254bc5f619f50ec50a8cb8e3cc083e,normanmaurer,439362,"Why you think using ImmediateEventExecutor is wrong ?
",2013-06-12T04:32:03Z,2013-06-12T04:32:03Z
2466044,0,"Wait, no @param?""",2013-01-19 20:14:16,CruzBishop,netty,netty,57e504a7e66d91b030148b3a63302116f042b5ae,CruzBishop,639417,"Wait, no @param?
",2013-01-20T07:14:16Z,2013-01-20T07:14:16Z
2137608,0,"I don't think this approach is scalable.  We should use wildcards for exports.  Also, we should mark most 3rd party dependencies as optional.  Are the bundles generated by this change really loaded into an OSGi container?""",2012-11-12 00:49:47,trustin,netty,netty,e236f5b77d10fa807bed797817a5c1471e37dca0,trustin,173918,"I don't think this approach is scalable.  We should use wildcards for exports.  Also, we should mark most 3rd party dependencies as optional.  Are the bundles generated by this change really loaded into an OSGi container?
",2012-11-12T11:49:47Z,2012-11-12T11:49:47Z
2136359,2,"Thanks for fixing it... My bad :(""",2012-11-11 20:22:30,normanmaurer,netty,netty,b3be15204d0389c31227ee16e0d3a1422341dc99,normanmaurer,439362,"Thanks for fixing it... My bad :(
",2012-11-12T07:22:30Z,2012-11-12T07:22:30Z
1129284,2,"OK, it's too bad that SPDY support is half broken on Java 6 :(""",2012-03-25 10:14:31,tsuna,netty,netty,5aae8279b9c7c54e30b019235b9a5ccdea64252b,tsuna,128281,"OK, it's too bad that SPDY support is half broken on Java 6 :(
",2012-03-25T22:14:31Z,2012-03-25T22:14:31Z
1029432,2,"Thanks.. I missed this while refactoring :(""",2012-02-29 18:54:49,normanmaurer,netty,netty,4158152b24c1e20cc9d024486a6bc6a0ee336a92,normanmaurer,439362,"Thanks.. I missed this while refactoring :(
",2012-03-01T05:54:49Z,2012-03-01T05:54:49Z
540705,2,"Could you please cut a new release of netty soon. We just hit this bug after upgrading to netty 3.2.5 :(""",2011-08-19 00:20:22,normanmaurer,netty,netty,35258a5393cc7840bc9af0d1dcd3c47ea58e2fa0,normanmaurer,439362,"Could you please cut a new release of netty soon. We just hit this bug after upgrading to netty 3.2.5 :(
",2011-08-19T12:20:22Z,2011-08-19T12:20:22Z
3928799,1,"@normanmaurer This seems to fail pretty often recently, like at 25% chance?  Please feel free to experiment at master. :-)""",2013-08-22 19:30:08,trustin,netty,netty,206dc2a3918d3754b8d9b4b73f107a085377a2d0,trustin,173918,"@normanmaurer This seems to fail pretty often recently, like at 25% chance?  Please feel free to experiment at master. :-)
",2013-08-23T07:30:08Z,2013-08-23T07:30:08Z
3528057,1,"No. I prefer adding space before ++ :-)""",2013-06-28 04:02:11,trustin,netty,netty,7cf88a1a3c9e72c55df00ffb8af12c7930eb6ec3,trustin,173918,"No. I prefer adding space before ++ :-)
",2013-06-28T16:02:11Z,2013-06-28T16:02:11Z
2872325,1,"@normanmaurer ,WOW,you are going to write an book about netty!!!WOW ,so nice!""",2013-03-24 23:59:58,hepin1989,netty,netty,1b6479d1027bcf003c3fc2bc92081f0c75efcdd5,He-Pin,501740,"@normanmaurer ,WOW,you are going to write an book about netty!!!WOW ,so nice!
",2013-03-25T10:59:58Z,2013-03-25T10:59:58Z
1768285,1,"Yeah right.. Let me fix it. I forgot to change this too. Thanks for review!""",2012-08-26 20:11:05,normanmaurer,netty,netty,798390fc4df88811d4437a99c9afdb2a9beaa654,normanmaurer,439362,"Yeah right.. Let me fix it. I forgot to change this too. Thanks for review!
",2012-08-27T08:11:05Z,2012-08-27T08:11:05Z
3642825,2,"We really need to fix this intermittent test failure.  It seems like the test hangs randomly.""",2013-07-15 22:11:20,trustin,netty,netty,dcf78961724abf97fea9e768cca02ba65146b324,trustin,173918,"We really need to fix this intermittent test failure.  It seems like the test hangs randomly.
",2013-07-16T10:11:20Z,2013-07-16T10:11:20Z
1519743,2,"Whoops. My bad! :(""",2012-06-28 22:33:01,CruzBishop,netty,netty,07095a41f481e50b57e4a39c3372c4c2865ca545,CruzBishop,639417,"Whoops. My bad! :(
",2012-06-29T10:33:01Z,2012-06-29T10:33:01Z
