comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3902901,0,"alright""",2013-08-20 06:32:46,bilderbuchi,openframeworks,openFrameworks,ddf2c9aa51ca571064a0e6aacd96ceb7adb70fb8,bilderbuchi,327442,"alright
",2013-08-20T18:32:46Z,2013-08-20T18:32:46Z
3008039,1,"@LeoColomb: look a couple comments above yours ;-)""",2013-04-14 02:06:04,bilderbuchi,openframeworks,openFrameworks,f85ba9b28faeb75ddb649bd45758166d707c6c56,bilderbuchi,327442,"@LeoColomb: look a couple comments above yours ;-)
",2013-04-14T14:06:04Z,2013-04-14T14:06:04Z
1959978,1,"very nice!""",2012-10-07 19:39:50,julapy,openframeworks,openFrameworks,6ccf10c80ee5ad6fc90d4f115a3895bd2ae4313f,julapy,331382,"very nice!
",2012-10-08T07:39:50Z,2012-10-08T07:39:50Z
1864693,0,"@arturoc: If you multiply-include `gst.h`, wouldn't it be good to add some include guards, so that we don't include it several times, driving up compilation/linking times?""",2012-09-17 04:15:36,bilderbuchi,openframeworks,openFrameworks,7318035cf93447fd09e19fe92baac744dd3e048d,bilderbuchi,327442,"@arturoc: If you multiply-include `gst.h`, wouldn't it be good to add some include guards, so that we don't include it several times, driving up compilation/linking times?
",2012-09-17T16:15:36Z,2012-09-17T16:15:47Z
1283131,0,"Another interesting update to this method in the same threat http://forum.openframeworks.cc/index.php/topic,6092.15.html""",2012-05-02 03:43:18,nardove,openframeworks,openFrameworks,740c6822395f8bdfa86edf8a42e659e0f33604d3,nardove,277690,"Another interesting update to this method in the same threat http://forum.openframeworks.cc/index.php/topic,6092.15.html
",2012-05-02T15:43:18Z,2012-05-02T15:43:18Z
1192617,0,"@bilderbuchi -- sorry, might be.  I have been moving around among different machines to test windows pg, so maybe the bad commit was there?  """,2012-04-10 01:12:15,ofZach,openframeworks,openFrameworks,1a48b5afdf82361b040b02b1999be1703accb958,ofZach,142897,"@bilderbuchi -- sorry, might be.  I have been moving around among different machines to test windows pg, so maybe the bad commit was there?  
",2012-04-10T13:12:15Z,2012-04-10T13:12:15Z
1192607,0,"could be  -- also it looks like the clock was ahead (it was on a windows 7 laptop I rarely use) so that's why these commits come out for today, but I think they were made a while back.  The important stuff is done after those weird commits, in these commit""",2012-04-10 01:10:43,ofZach,openframeworks,openFrameworks,1a48b5afdf82361b040b02b1999be1703accb958,ofZach,142897,"could be  -- also it looks like the clock was ahead (it was on a windows 7 laptop I rarely use) so that's why these commits come out for today, but I think they were made a while back.  The important stuff is done after those weird commits, in these commits: f57915351475d50377e1299e81678541f2aa2d7e, c93c448e37fd716aa3c1cfa916d50c4ccba7a288, 67d1d8c769a1979b8a0cc71436083d10a83bee47

what's a good way to fix this? 
",2012-04-10T13:10:43Z,2012-04-10T13:11:00Z
1003359,0,"I guess you skip updating the createProjects scripts until the project generator is finished? Because right now, it's broken because of the move.""",2012-02-23 06:07:03,bilderbuchi,openframeworks,openFrameworks,91d76830cf705026afe09fc6fbf8e5a347e900ca,bilderbuchi,327442,"I guess you skip updating the createProjects scripts until the project generator is finished? Because right now, it's broken because of the move.
",2012-02-23T17:07:03Z,2012-02-23T17:07:03Z
1039137,0,"the loadData() methods added here broke 32-bit and 16-bit image display in the AdvancedImageLoading example. i'm not completely sure why. maybe the ofPixels were being converted before?""",2012-03-03 08:02:18,kylemcdonald,openframeworks,openFrameworks,c50648e29199a3f61eae05f6ceb350a97ab275d7,kylemcdonald,157106,"the loadData() methods added here broke 32-bit and 16-bit image display in the AdvancedImageLoading example. i'm not completely sure why. maybe the ofPixels were being converted before?
",2012-03-03T19:02:18Z,2012-03-03T19:02:18Z
331517,0,"yes, the repository version is usually outdated and even if it's not right now it will install some plugins at the system level which from my experience can be problematic""",2011-04-06 03:55:01,arturoc,openframeworks,openFrameworks,fb8fad30736df4c62e64f9547a1121351d801d1a,arturoc,48240,"yes, the repository version is usually outdated and even if it's not right now it will install some plugins at the system level which from my experience can be problematic
",2011-04-06T15:55:01Z,2011-04-06T15:55:01Z
3665197,2,"oh, sorry, didn't saw it, had to fix it because the core wasn't compiling for me this morning""",2013-07-18 03:24:07,arturoc,openframeworks,openFrameworks,912cd96a8cca60d31abe2624fcce6736f5f393f5,arturoc,48240,"oh, sorry, didn't saw it, had to fix it because the core wasn't compiling for me this morning
",2013-07-18T15:24:07Z,2013-07-18T15:24:07Z
1904841,2,"sorry, it's fixed now""",2012-09-25 10:52:56,arturoc,openframeworks,openFrameworks,33933ef7705f6fdbda602176209498e91b7a7eb5,arturoc,48240,"sorry, it's fixed now
",2012-09-25T22:52:56Z,2012-09-25T22:52:56Z
1675305,2,"sorry, please ignore this comment. compiler was stuck... rebuilding OF fixed it.""",2012-08-06 01:22:47,julapy,openframeworks,openFrameworks,918b8b9a9e27fe1289d5ccd8162094eec41e468f,julapy,331382,"sorry, please ignore this comment.
compiler was stuck... rebuilding OF fixed it.
",2012-08-06T13:22:47Z,2012-08-06T13:22:47Z
1192448,2,"sorry -- I have been moving around machines and checked in code from windows machines, etc.   this is fsck -- full:   new-host-3:openFrameworks$ git fsck --full error in commit 4a136cc45b89fbeec99fc1020716de705490d3d3: invalid author/committer line - """,2012-04-10 00:28:01,ofZach,openframeworks,openFrameworks,1a48b5afdf82361b040b02b1999be1703accb958,ofZach,142897,"sorry -- I have been moving around machines and checked in code from windows machines, etc. 

this is fsck -- full: 

new-host-3:openFrameworks$ git fsck --full
error in commit 4a136cc45b89fbeec99fc1020716de705490d3d3: invalid author/committer line - bad email
warning in tree bb1f763543cc01b7f5904fcfb636888c3ad73def: contains zero-padded file modes
dangling blob ba210ec823ab12aec5021ad2a854887600265424
dangling blob c681661242b9e03d67e615db7cb15af1facb7ecb
dangling blob 8ba0068d4b09045a4dc4e4374e1946d04f419b79
dangling blob fddc7a236690849d6ff3e5cbb06dc3b5739acaa4
dangling blob 1b31874dc3db746d1ccb09227fd9f41ea043f8f7
dangling blob 228cc52655c9b3dfbfadc1aa44ca13742fbb1869
dangling blob 348d89cffb1a286f2ad57b884815dddaeedfc07a
dangling blob d9a5cd54f0365cc1ede624d32fe4e73aef8b798e
",2012-04-10T12:28:01Z,2012-04-10T12:28:01Z
1097198,2,"@ofTheo sorry! i can do all changes as pull requests. i understand that it's easier to review it in a pr.""",2012-03-16 18:12:07,kylemcdonald,openframeworks,openFrameworks,14f5496a27eb7ad7db492397db3879a2e21392cb,kylemcdonald,157106,"@ofTheo sorry! i can do all changes as pull requests. i understand that it's easier to review it in a pr.
",2012-03-17T05:12:07Z,2012-03-17T05:12:07Z
1095499,2,"sorry ! I was trying to fix an error with seeing ../../../../, but it looks like I introduced another problem.  will take a look at it later today. """,2012-03-16 07:15:58,ofZach,openframeworks,openFrameworks,918818c864c663938377ff48b72f512ae06ec51e,ofZach,142897,"sorry ! I was trying to fix an error with seeing ../../../../, but it looks like I introduced another problem.  will take a look at it later today. 
",2012-03-16T18:15:58Z,2012-03-16T18:15:58Z
