comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3994944,0,"@Vasago: i tried to maintain (if i didn't made any mistake) the same restriction they had, with some changes. if a command .xxx has admin rights but .xxx yyy had player rights, now both are limited to admin. Before it was also useless to have player right""",2013-09-02 00:46:05,Spp-,TrinityCore,TrinityCore,3e45640135bd24886e76eea393a706bc5b6a86a4,xurxogr,259712,"@Vasago: i tried to maintain (if i didn't made any mistake) the same restriction they had, with some changes.
if a command .xxx has admin rights but .xxx yyy had player rights, now both are limited to admin. Before it was also useless to have player rights in the subcommand when the command itself has more restrictive access
",2013-09-02T12:46:05Z,2013-09-02T12:46:05Z
3973241,0,"Horsie yes, but vehicles were even more screwed up than I had thought. A few quests I fixed in the past got their share of issues with vehicles now.""",2013-08-29 01:27:13,Kirkhammett,TrinityCore,TrinityCore,c84f545708656a3448d9e69af626a20144d00e30,filipboev,1146940,"Horsie yes, but vehicles were even more screwed up than I had thought. A few quests I fixed in the past got their share of issues with vehicles now.
",2013-08-29T13:27:13Z,2013-08-29T13:27:13Z
3834745,0,"closes #10517""",2013-08-11 01:21:15,Faq,TrinityCore,TrinityCore,9e45731f3270b44d45d1b96e96d0fceb6ccf4ec3,Faq,322016,"closes #10517
",2013-08-11T13:21:15Z,2013-08-11T13:21:15Z
3802842,1,"Thank you, guy-who-probably-lives-in-the-Balkan.""",2013-08-06 10:58:53,Kirkhammett,TrinityCore,TrinityCore,c8bfb9cf4df450497263d94869880db6eb7f3c73,filipboev,1146940,"Thank you, guy-who-probably-lives-in-the-Balkan.
",2013-08-06T22:58:53Z,2013-08-06T22:58:53Z
3798053,0,"Creature with entry 2641700? Really?""",2013-08-06 02:26:22,Rohlik,TrinityCore,TrinityCore,79dd7222069f6fe6287d41e0f09bc0b680220837,Rohlik,2051154,"Creature with entry 2641700? Really?
",2013-08-06T14:26:22Z,2013-08-06T14:26:22Z
3782733,1,"wrong test spell :P  flame shock has SPELL_DIRECT_DAMAGE""",2013-08-03 09:43:54,Vincent-Michael,TrinityCore,TrinityCore,20a61b6400b17d09f7fc78bc75783aff16e7a029,Vincent-Michael,541725,"wrong test spell :P

flame shock has SPELL_DIRECT_DAMAGE
",2013-08-03T21:43:54Z,2013-08-03T21:44:27Z
3733945,1,"ok. than thanks for this one.""",2013-07-28 08:27:18,2010phenix,TrinityCore,TrinityCore,e3f7be12efbef67a0d6c7213fba79d09941b2197,2010phenix,544663,"ok. than thanks for this one.
",2013-07-28T20:27:18Z,2013-07-28T20:27:18Z
3696680,2,"Sorry, my mistake - haven't noticed it was dropped.""",2013-07-23 02:22:34,nelegalno,TrinityCore,TrinityCore,ebd9090d80df3494fe2b023110d402c5bb7a1460,nelegalno,937520,"Sorry, my mistake - haven't noticed it was dropped.
",2013-07-23T14:22:34Z,2013-07-23T14:22:34Z
3596369,0,"if (events.ExecuteEvent() == EVENT_DEATH_YELL) """,2013-07-09 06:50:17,joschiwald,TrinityCore,TrinityCore,17398a4043bced0f086b23e63644e290690ee7d7,joschiwald,736792,"if (events.ExecuteEvent() == EVENT_DEATH_YELL) 
",2013-07-09T18:50:17Z,2013-07-09T18:50:17Z
3487736,0,"events must start with 1, 0 means no event""",2013-06-23 20:51:03,joschiwald,TrinityCore,TrinityCore,9726a5174e22097373581bb5e20fad49e45b9a61,joschiwald,736792,"events must start with 1, 0 means no event
",2013-06-24T08:51:03Z,2013-06-24T08:51:03Z
