comment_id,polarity,text,created_at_gold,author_login_gold,owner,repo,commit_id,author_login_kaiaulu,author_id,body,created_at_kaiaulu,updated_at
3915540,0,"no clue ... i refactored the packaging script at one point to match up with ios and atv2 - i guess since then you lost it ;)""",2013-08-21 09:36:36,Memphiz,xbmc,xbmc,dc0edf03c7fe069d810265a60ebbfc41b4aa12db,Memphiz,701326,"no clue ... i refactored the packaging script at one point to match up with ios and atv2 - i guess since then you lost it ;)
",2013-08-21T21:36:36Z,2013-08-21T21:36:36Z
3806455,0,"@fritsch well on my sandy bridge it crashed the gpu. As far as I know there is no way to ask vaapi what it support.""",2013-08-06 22:45:50,elupus,xbmc,xbmc,33ac5433dab9d2e04ea93729c8b9c794b8aaa801,elupus,482976,"@fritsch well on my sandy bridge it crashed the gpu. As far as I know there is no way to ask vaapi what it support.
",2013-08-07T10:45:50Z,2013-08-07T10:45:50Z
3770131,0,"Stagefright handling needs to use our threading routines like everyone else. Then this isn't necessary.""",2013-08-01 07:48:59,theuni,xbmc,xbmc,0b8b619b16572322d5481f4684f4f92f974820a5,theuni,417043,"Stagefright handling needs to use our threading routines like everyone else. Then this isn't necessary.
",2013-08-01T19:48:59Z,2013-08-01T19:48:59Z
3601766,0,"Well in my case it still works, perhaps a specific things of ATI that would remember the normally available screens.  Got numbers of other problems with all video playing at 2 or 3x speed but this is another story.""",2013-07-09 21:41:52,Tolriq,xbmc,xbmc,c1f628e1bfc1d4117d151bccdf3a9c22cf6429e7,Tolriq,932609,"Well in my case it still works, perhaps a specific things of ATI that would remember the normally available screens.

Got numbers of other problems with all video playing at 2 or 3x speed but this is another story.
",2013-07-10T09:41:52Z,2013-07-10T09:41:52Z
2920294,0,"It's not better for what I'm talking about. But since I don't know any samples, I can't say if it's a real issue.""",2013-04-01 03:56:55,elupus,xbmc,xbmc,372a14d33a1f3325ffec09d38dbf2bf77f1afaa7,elupus,482976,"It's not better for what I'm talking about. But since I don't know any
samples, I can't say if it's a real issue.
",2013-04-01T15:56:55Z,2013-04-01T15:56:55Z
2707534,0,"Is 10 intentional?""",2013-02-27 08:02:14,jmarshallnz,xbmc,xbmc,8d2e0fe0d3cd5592765910de545ff471c90cea8c,jmarshallnz,406571,"Is 10 intentional?
",2013-02-27T19:02:14Z,2013-02-27T19:02:14Z
2638170,0,"Don't you have to resume the device here? Aka initialize it with the last format used? Think of someone pressing pause within a song and it goes idling? """,2013-02-17 08:04:51,fritsch,xbmc,xbmc,c468689eb8b954b57af84226931c0d9f1dbb666e,fritsch,1089309,"Don't you have to resume the device here? Aka initialize it with the last format used? Think of someone pressing pause within a song and it goes idling? 
",2013-02-17T19:04:51Z,2013-02-17T19:04:51Z
2358161,0,"Scraping of VNSI recordings got broken with this. They start with pvr://recordings/ There seems to be more broken in parsing the pvr filename for the title. @opdenkamp or has something changed in the pvr API I am not aware of?""",2012-12-26 21:46:05,FernetMenta,xbmc,xbmc,5ca0942b257aca62378bedf94733758547a7e659,FernetMenta,576009,"Scraping of VNSI recordings got broken with this. They start with pvr://recordings/
There seems to be more broken in parsing the pvr filename for the title.
@opdenkamp or has something changed in the pvr API I am not aware of?
",2012-12-27T08:46:05Z,2012-12-27T08:46:05Z
2027431,0,"I discussed this with cptspiff on IRC before committing it and we were both of the opinion that the sets node should show all the sets in case we want to extend support for sets within XBMC to e.g. allow adding movies to a set which will not be possible if""",2012-10-20 06:35:28,Montellese,xbmc,xbmc,d2455c3f64d583cc065362162f784da63bd0e38d,Montellese,75864,"I discussed this with cptspiff on IRC before committing it and we were both of the opinion that the sets node should show all the sets in case we want to extend support for sets within XBMC to e.g. allow adding movies to a set which will not be possible if you don't show empty sets or sets only containing a single movie.
",2012-10-20T18:35:28Z,2012-10-20T18:35:28Z
2026523,0,"I think the current """"sets"""" directory node is now also showing 1-movie sets, which is pretty annoying.  It can be solved by passing true to GetSetsNav in the CDirectoryNodeSets::GetContent""",2012-10-19 18:10:01,Voyager1,xbmc,xbmc,d2455c3f64d583cc065362162f784da63bd0e38d,Voyager1,549958,"I think the current ""sets"" directory node is now also showing 1-movie sets, which is pretty annoying. 
It can be solved by passing true to GetSetsNav in the CDirectoryNodeSets::GetContent
",2012-10-20T06:10:01Z,2012-10-20T06:10:01Z
1990981,0,"I think this change broke the channel icons with PVR. When watching a channel and going to the home screen, it does not show the channel icon, only shows the default 'video' icon.  Same happens on the info screen while watching PVR.  Edit: Channel icon""",2012-10-13 02:58:04,wileecoyotejr,xbmc,xbmc,217efbc6480dc77b596a5414528390b1f8aac124,wileecoyotejr,2318678,"I think this change broke the channel icons with PVR. When watching a channel and going to the home screen, it does not show the channel icon, only shows the default 'video' icon.

Same happens on the info screen while watching PVR.

Edit: Channel icons still show fine in the guide and mini guide.
",2012-10-13T14:58:04Z,2012-10-13T14:58:45Z
1855903,0,"hey ametAE :p - what issue solves this? *just curious*""",2012-09-14 03:15:36,Memphiz,xbmc,xbmc,6d6123f0a0e9f79209a0a1026821ac4d8172707b,Memphiz,701326,"hey ametAE :p - what issue solves this? _just curious_
",2012-09-14T15:15:36Z,2012-09-14T15:15:36Z
1845405,0,"I think README.android also need swig.""",2012-09-12 08:56:54,fape,xbmc,xbmc,990b69af0926eb2bf644d90d2b7b95b1bbb30b73,fape,1052464,"I think README.android also need swig.
",2012-09-12T20:56:54Z,2012-09-12T20:57:42Z
1766397,1,"Thanks again for the quick fix :-)""",2012-08-25 22:22:34,arnova,xbmc,xbmc,1cff98f6748b658264da6fbfa05416385723e57c,arnova,544531,"Thanks again for the quick fix :-)
",2012-08-26T10:22:34Z,2012-08-26T10:22:34Z
